,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
20,0.27,1.1,0.17,0.1,90.0,13.11,34.93,6.1,11.635,8.82,31.18,2.53
21,0.13,0.94,0.07,0.03,131.0,12.88,34.92,5.9,11.74,9.45,31.81,2.55
22,0.09,0.64,0.01,0.08,20.0,15.56,34.97,185.0,12.425,0.555,4.245,1.82
23,0.07,0.73,0.01,0.0,110.0,13.21,34.93,6.7,8.595,10.57,32.06,2.525
24,0.2,1.23,0.1,,141.0,12.87,34.91,6.5,13.365,8.71,30.55,2.52
25,0.17,1.14,0.06,0.0,301.0,10.73,34.77,6.1,27.17,3.715,33.915,2.675
26,0.19,0.47,,0.08,20.0,17.105,35.01,252.15,11.555,0.455,4.88,1.365
27,0.145,2.5,0.07,0.09,75.0,13.83,34.96,8.8,4.23,9.555,32.01,2.455
28,0.05,0.78,0.03,0.11,151.0,12.94,34.92,6.5,-488.84,-497.565,-485.545,-498.305
29,0.06,0.74,0.03,0.08,201.0,12.285,34.87,6.2,18.84,6.355,29.96,2.45
30,0.19,1.01,0.18,0.29,382.0,9.46,34.685,6.25,33.18,1.385,36.02,2.725
31,0.055,1.07,0.1,0.115,503.0,7.79,34.595,7.55,41.775,0.0,46.56,3.055
32,0.17,0.77,,0.05,604.0,6.83,34.57,8.9,44.165,0.0,56.57,3.175
33,0.09,0.9,0.12,0.11,1007.0,4.33,34.55,56.3,43.25,0.0,90.295,3.17
34,0.07,3.0,0.09,0.13,1209.0,3.54,34.57,71.5,41.63,0.03,108.305,3.1
35,0.19,0.83,0.02,0.1,1614.0,2.6,34.62,94.2,40.21,0.0,136.705,3.015
36,0.22,0.45,0.06,0.18,1817.0,2.4,34.63,98.5,39.58,0.0,141.68,2.975
39,0.02,0.21,0.0,0.19,20.0,18.15,35.13,252.7,14.69,0.52,4.05,1.325
40,0.1,0.22,0.0,0.02,50.0,17.21,35.22,241.7,9.29,0.605,3.95,1.255
41,0.19,0.4,0.01,0.18,95.0,14.13,34.93,11.7,22.25,0.56,18.3,2.49
42,0.03,0.55,0.07,0.0,151.0,12.71,34.89,5.8,18.845,3.875,28.01,2.535
43,0.02,0.27,0.0,0.06,20.0,18.91666667,35.28666667,247.3,14.28,0.42,4.73,1.015
44,0.01,0.33,0.0,0.03,40.0,18.83,35.28666667,246.2333333,14.29,0.425,4.73,1.005
45,0.04,0.39,0.0,0.04,60.0,18.06333333,35.28333333,238.2333333,14.34,0.42,4.68,1.0
46,0.05,0.28,0.0,0.03,80.0,16.86,35.15333333,182.6333333,17.705,0.865,7.075,1.59
47,0.25,0.63,0.01,0.06,110.0,13.66666667,34.93,8.633333333,18.505,3.145,25.03,2.49
48,0.29,0.9,0.06,0.13,151.0,12.91666667,34.92,7.0,21.135,3.64,27.72,2.475
49,0.1,0.76,0.05,0.22,301.0,10.87,34.78333333,6.333333333,22.67,7.0,33.33,2.635
50,0.05,0.79,0.16,0.04,352.0,10.08333333,34.72666667,6.2,32.23,1.355,34.26,2.72
51,0.04,0.695,0.105,0.17,402.0,9.336666667000001,34.68333333,6.333333333,37.1,0.0,37.555,2.8225
52,0.02,0.75,0.05,0.09,452.0,8.583333332999999,34.63333333,6.7,39.94,0.0,40.9,2.935
