STNNBR,lat,lon,GEOTRC_SAMPNO,depth,HgT_pM,HgT_flag,Hg0_pM,Hg0_flag,MMHg_pM,MMHg_flag,DMHg_pM,DMHg_flag
2,-12.04,-77.38,2261,38,1.89,2,0.04,2,,9,,9
2,-12.04,-77.38,2260,38,,9,,9,0.04,2,0.00,2
2,-12.04,-77.38,2259,55,2.05,2,0.31,2,,9,,9
2,-12.04,-77.38,2258,55,,9,,9,0.05,2,0.00,2
2,-12.04,-77.38,2257,70,1.29,2,0.34,2,,9,,9
2,-12.04,-77.38,2256,70,,9,,9,0.07,2,0.09,2
2,-12.04,-77.38,2255,90,0.95,2,0.27,2,,9,,9
2,-12.04,-77.38,2254,90,,9,,9,0.00,2,0.18,2
2,-12.04,-77.38,2253,110,1.62,2,0.28,2,,9,,9
2,-12.04,-77.38,2252,110,,9,,9,0.03,2,0.08,2
3,-12.05,-77.66,2343,2,0.45,2,,9,,9,,9
3,-12.05,-77.66,2309,20,0.81,2,0.13,2,,9,,9
3,-12.05,-77.66,2308,20,,9,,9,0.05,2,0.14,2
3,-12.05,-77.66,2307,30,1.49,2,0.08,2,,9,,9
3,-12.05,-77.66,2306,30,,9,,9,0.06,2,0.05,2
3,-12.05,-77.66,2305,35,1.25,2,0.28,2,,9,,9
3,-12.05,-77.66,2304,35,,9,,9,0.04,2,0.02,2
3,-12.05,-77.66,2303,50,1.01,2,0.18,2,,9,,9
3,-12.05,-77.66,2302,50,,9,,9,0.03,2,0.16,2
3,-12.05,-77.66,2301,70,9.30,4,0.13,2,,9,,9
3,-12.05,-77.66,2300,70,,9,,9,0.00,2,0.11,2
3,-12.05,-77.66,2299,90,1.10,2,0.27,2,,9,,9
3,-12.05,-77.66,2298,90,,9,,9,0.10,2,0.17,2
3,-12.05,-77.66,2297,130,0.94,2,0.13,2,,9,,9
3,-12.05,-77.66,2296,130,,9,,9,0.03,2,0.07,2
3,-12.05,-77.66,2295,170,1.34,2,0.10,2,,9,,9
3,-12.05,-77.66,2294,170,,9,,9,0.05,2,0.11,2
4,-12.04,-77.82,2400,2,0.57,2,,9,,9,,9
4,-12.04,-77.82,2367,20,0.64,2,0.09,2,,9,,9
4,-12.04,-77.82,2366,20,,9,,9,0.08,2,0.01,2
4,-12.04,-77.82,2365,48,0.50,2,0.19,2,,9,,9
4,-12.04,-77.82,2364,48,,9,,9,0.00,2,0.03,2
4,-12.04,-77.82,2363,65,1.15,2,0.05,2,,9,,9
4,-12.04,-77.82,2362,65,,9,,9,0.10,2,0.15,2
4,-12.04,-77.82,2361,110,0.73,2,0.07,2,,9,,9
4,-12.04,-77.82,2360,110,,9,,9,0.00,2,0.01,2
4,-12.04,-77.82,2359,140,1.23,2,0.20,2,,9,,9
4,-12.04,-77.82,2358,140,,9,,9,,5,0.10,2
4,-12.04,-77.82,2357,200,0.69,2,0.28,2,,9,,9
4,-12.04,-77.82,2356,200,,9,,9,0.00,2,0.09,2
4,-12.04,-77.82,2355,300,1.14,2,0.17,2,,9,,9
4,-12.04,-77.82,2354,300,,9,,9,0.00,2,0.06,2
4,-12.04,-77.82,2353,400,0.95,2,0.04,2,,9,,9
4,-12.04,-77.82,2352,400,,9,,9,0.04,2,0.09,2
4,-12.04,-77.82,2351,500,0.73,2,0.04,2,,9,,9
4,-12.04,-77.82,2350,500,,9,,9,0.06,2,0.00,2
4,-12.04,-77.82,2349,600,0.71,2,0.15,2,,9,,9
4,-12.04,-77.82,2348,600,,9,,9,0.07,2,0.04,2
4,-12.04,-77.82,2347,675,0.86,2,0.19,2,,9,,9
4,-12.04,-77.82,2346,675,,9,,9,0.03,2,0.02,2
4,-12.04,-77.82,2345,750,0.81,2,0.08,2,,9,,9
4,-12.04,-77.82,2344,750,,9,,9,0.09,2,0.17,2
5,-12.04,-78.17,2496,2,0.28,2,,9,,9,,9
5,-12.04,-78.17,2482,20,0.47,2,0.19,4,,9,,9
5,-12.04,-78.17,2481,20,,9,,9,0.08,2,,5
5,-12.04,-78.17,2480,40,0.43,2,0.04,3,,9,,9
5,-12.04,-78.17,2477,40,,9,,9,0.29,2,0.00,2
5,-12.04,-78.17,2479,40,,9,,9,,5,,5
5,-12.04,-78.17,2476,75,0.88,2,0.23,2,,9,,9
5,-12.04,-78.17,2474,75,4.12,3,0.06,3,,9,,9
5,-12.04,-78.17,2475,75,,9,,9,0.09,2,0.07,2
5,-12.04,-78.17,2473,85,,9,,9,0.14,2,0.07,2
5,-12.04,-78.17,2472,120,0.88,2,0.29,2,,9,,9
5,-12.04,-78.17,2471,120,,9,,9,0.09,2,0.04,2
5,-12.04,-78.17,2470,150,0.78,2,0.05,3,,9,,9
5,-12.04,-78.17,2469,150,,9,,9,0.11,2,0.03,2
5,-12.04,-78.17,2468,200,0.74,2,0.06,3,,9,,9
5,-12.04,-78.17,2467,200,,9,,9,0.08,2,0.03,2
5,-12.04,-78.17,2466,265,0.82,2,0.21,2,,9,,9
5,-12.04,-78.17,2465,265,,9,,9,0.07,2,0.02,2
5,-12.04,-78.17,2464,330,3.87,3,0.09,3,,9,,9
5,-12.04,-78.17,2463,330,,9,,9,0.06,2,0.11,2
5,-12.04,-78.17,2462,380,1.01,2,0.19,4,,9,,9
5,-12.04,-78.17,2461,380,,9,,9,0.29,2,0.18,2
5,-12.04,-78.17,2460,500,1.20,2,0.07,3,,9,,9
5,-12.04,-78.17,2426,500,0.94,2,0.04,3,,9,,9
5,-12.04,-78.17,2425,500,,9,,9,0.08,2,0.06,2
5,-12.04,-78.17,2459,500,,9,,9,0.15,2,0.14,2
5,-12.04,-78.17,2424,600,0.77,2,0.17,2,,9,,9
