STNNBR,depth,lat,lon,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
21,90,-14.77,-115,0.34,0.01,,0,1.315,0.61,0.05,0.36,90,23.14333333,36.19333333,220.1666667,4.743333333,0.246666667
21,225,-14.77,-115,0.32,0.02,,0,1.805,7.155,0.02,0.73,226,17.84333333,35.31333333,190.7666667,4.8,0.02
21,1250,-14.77,-115,,,,0.04,95.37,38.95,0,2.75,1259,3.59,34.55,111.1,4.83,0.02
21,2000,-14.77,-115,,,,0.04,121.085,36.11,0,2.575,2019,2.125,34.63,153.45,4.84,0.02
21,2100,-14.77,-115,,,,0.03,122.305,35.64,0,2.535,2121,2,34.64,161.2,4.84,0.02
21,2200,-14.77,-115,,,,0.03,123.57,35.29,0,2.525,2222,1.93,34.65,165.15,4.84,0.02
21,2450,-14.77,-115,,,,0.02,128.5,35.36,0,2.53,2476,1.85,34.66,168.25,4.84,0.02
21,2500,-14.77,-115,,,,0.03,126.99,34.94,0,2.49,2527,1.845,34.66,168.7,4.84,0.02
21,2550,-14.77,-115,,,,,127.525,35.04,0,2.495,2578,1.84,34.66,169,4.84,0.02
21,3000,-14.77,-115,,,,0.12,127.715,34.84,0,2.495,3036,1.76,34.67,176.9,4.84,0.02
21,3100,-14.77,-115,,,,0.11,128.84,34.85,0,2.49,3138,1.76,34.67,177.9,4.84,0.02
21,3150,-14.77,-115,,,,0.06,128.84,34.835,0,2.49,3189,1.76,34.67,178.3,4.84,0.02
21,3200,-14.77,-115,,,,0.08,129.915,34.88,0,2.505,3240,1.76,34.67,178.8,4.84,0.02
22,20,-14.39,-117.5,0.2,0,0,,1.51,2.09,0.04,0.345,20,24.65,36.03,221.4,4.73,0.1
22,85,-14.39,-117.5,0.09,0.02,0,0,1.17,0.295,0.02,0.285,85,23.61,36.25,220.1,4.75,0.18
22,122,-14.39,-117.5,0.18,0.02,,,0.83,0.05,0.105,0.28,122,23.36,36.44,215.8,4.78,0.14
22,150,-14.39,-117.5,,,0,0,0.78,0.38,0.97,0.335,150,22.22,36.19,209.9,4.79,0.07
22,375,-14.39,-117.5,0.49,0.01,0.04,0.06,22.94,31.205,0,2.445,377,9.47,34.56,44.8,4.81,0.02
22,451,-14.39,-117.5,0.75,0,,,28.795,35.435,0,2.455,453,8.07,34.54,65.6,4.81,0.02
22,550,-14.39,-117.5,,,0.02,0.06,37.045,36.315,0,2.445,553,6.78,34.51,93.2,4.82,0.02
23,75,-14,-120,0.15,0,,0,1.22,1.06,0.02,0.3,75,24.38666667,36.16666667,224.4333333,4.746666667,0.193333333
23,90,-14,-120,0.15,0,,0.02,1.36,0.385,0.02,0.3,90,24.04,36.24333333,220.3333333,4.756666667,0.19
23,121,-14,-120,0.15,0.01,,,1.22,0.03,0.105,0.295,121,23.36,36.32333333,212.0333333,4.776666667,0.136666667
23,1000,-14,-120,,,,0.19,74.875,38.145,0,2.695,1007,4.273333333,34.51333333,121.2333333,4.83,0.02
23,1250,-14,-120,,,,0.06,91.37,37.78,0,2.71,1259,3.57,34.54,127.1,4.83,0.02
23,1500,-14,-120,,,0.02,0,107.13,37.83,0,2.74,1512,2.94,34.575,131.65,4.83,0.02
23,2100,-14,-120,,,,0.01,124.985,35.735,0,2.595,2121,2,34.645,158.8,4.84,0.02
23,2400,-14,-120,,,0.03,0.06,130.305,35.555,0,2.58,2425,1.85,34.66,165.25,4.84,0.02
23,2450,-14,-120,,,,0.07,130.7,35.45,0,2.57,2476,1.835,34.66,166.15,4.84,0.02
23,2600,-14,-120,,,0.14,0,132.015,35.76,0,2.545,2629,1.79,34.66,168.8,4.84,0.02
23,2900,-14,-120,,,,0.18,133.525,35.555,0,2.55,2934,1.69,34.67,175.8,4.84,0.02
23,3000,-14,-120,,,,0.04,133.43,35.475,0,2.525,3036,1.67,34.67,177.9,4.84,0.02
23,3300,-14,-120,,,,0.14,134.455,35.615,0,2.545,3342,1.65,34.67,180.8,4.84,0.02
23,3350,-14,-120,,,0,0.02,134.5,35.695,0,2.545,3393,1.65,34.67,181.2,4.84,0.02
24,20,-13.27,-122.5,0.15,0.02,,0,1.95,3.165,0.07,0.43,20,25.59,35.93,219.7,4.73,0.17
24,40,-13.27,-122.5,0.15,0.01,,0,1.85,3.15,0.07,0.435,40,25.59,35.93,218.3,4.73,0.17
24,55,-13.27,-122.5,0.22,0.02,,0,1.71,2.85,0.06,0.425,55,24.91,36.02,222.7,4.72,0.3
24,70,-13.27,-122.5,0.07,0.01,,0,1.465,1.565,0.04,0.36,70,24.53,36.09,221.3,4.72,0.32
24,111,-13.27,-122.5,0.16,0.04,,,1.315,0.27,0.09,0.355,111,23.79,36.33,209.7,4.77,0.18
24,180,-13.27,-122.5,0.15,0.05,,0,1.17,3.66,0.06,0.52,180,20.21,35.77,198.5,4.79,0.04
24,226,-13.27,-122.5,0.19,0.07,,,2.34,8.72,0.025,0.885,227,17.59,35.29,180.4,4.8,0.01
24,291,-13.27,-122.5,0.54,0.06,,,14.74,21.9,0,2.05,292,12.13,34.64,103.6,4.8,0.02
24,351,-13.27,-122.5,1.71,0.02,,,25.77,30.775,0,2.65,352,10.7,34.67,17.5,4.81,0.02
24,1002,-13.27,-122.5,0.8,0.03,,,74.78,40.515,0,2.84,1009,4.53,34.51,95.9,4.83,0.02
25,30,-12.54,-125,0.19,0.01,,0,1.12,2.405,0.05,0.355,30,26.31,36.02666667,215.7,4.73,0.103333333
25,60,-12.54,-125,,,,,1.17,2.355,0.04,0.36,60,26.22666667,36.02333333,215.5333333,4.73,0.14
25,86,-12.54,-125,0.15,0.04,,,1.075,2.175,0.04,0.37,86,25.41,36.00666667,219.1666667,4.733333333,0.23
25,1000,-12.54,-125,,,,0.235,76.97,39.89,0,2.81,1007,4.336666667,34.52,98.16666667,4.83,0.02
25,1250,-12.54,-125,,,,0.16,95.66,39.02,0,2.795,1259,3.465,34.55,113.65,4.83,0.02
25,1750,-12.54,-125,,,,0.07,118.5,37.64,0,2.715,1765,2.535,34.61,134.75,4.83,0.02
25,2100,-12.54,-125,,,,0.09,126.16,36.605,0,2.645,2120,2.065,34.64,150.85,4.84,0.02
25,2200,-12.54,-125,,,,0.06,128.26,36.355,0,2.62,2222,1.965,34.65,154.85,4.84,0.02
25,2500,-12.54,-125,,,,0,133.38,36.07,0,2.59,2527,1.84,34.66,161,4.84,0.02
25,2550,-12.54,-125,,,,0.12,133.92,36.03,0,2.595,2578,1.835,34.66,161.5,4.84,0.02
25,2600,-12.54,-125,,,,0.04,134.015,35.89,0,2.59,2629,1.825,34.66,162.05,4.835,0.02
25,2650,-12.54,-125,,,,0.22,134.11,35.905,0,2.595,2680,1.82,34.66,162.7,4.84,0.02
25,2750,-12.54,-125,,,,0.15,133.575,35.75,0,2.585,2781,1.8,34.67,164.7,4.84,0.02
25,2900,-12.54,-125,,,,0.31,133.235,35.475,0,2.565,2934,1.76,34.67,169.4,4.84,0.02
25,3000,-12.54,-125,,,,0.26,133.135,35.4,0,2.55,3036,1.72,34.67,172.7,4.84,0.02
25,3500,-12.54,-125,,,,0.12,134.255,35.005,0,2.53,3546,1.61,34.68,182.9,4.84,0.02
26,20,-11.71,-128.08,0.11,0,,0,1.415,2.31,0.04,0.36,20,26.62666667,36.07,214.5666667,4.733333333,0.11
26,45,-11.71,-128.08,0.13,0,,0,1.27,2.31,0.04,0.375,45,26.56,36.10333333,215.7,4.73,0.146666667
26,80,-11.71,-128.08,,,,0,1.265,1.4,0.03,0.32,80,25.13333333,36.15666667,212.1,4.746666667,0.24
26,141,-11.71,-128.08,0.08,0.02,,,1.12,1.2,1.545,0.425,141,22.21666667,36.13666667,199.8333333,4.79,0.076666667
26,252,-11.71,-128.08,0.18,0.01,,,7.12,15.36,0,1.375,253,15.15333333,34.98,163.2333333,4.806666667,0.016666667
26,301,-11.71,-128.08,0.31,0,,,19.325,25.515,0,2.34,302,11.99333333,34.68333333,61.93333333,4.81,0.02
26,852,-11.71,-128.08,0.72,0,,,61.6,39.89,0,2.77,857,5.17,34.5,90.86666667,4.83,0.02
26,1250,-11.71,-128.08,0.95,0.02,,0.15,95.91,38.99,0,2.745,1259,3.54,34.55,114.75,4.83,0.02
26,1501,-11.71,-128.08,0.53,0.03,,,110.94,38.195,0,2.71,1513,2.925,34.58,127.85,4.83,0.02
26,2000,-11.71,-128.08,0.61,0.03,,0.07,128.26,36.92,0,2.63,2019,2.13,34.635,147.6,4.84,0.02
26,2300,-11.71,-128.08,0.75,0.04,,0.29,133.235,36.365,0,2.59,2323.333333,1.89,34.66,156.9333333,4.84,0.02
26,2550,-11.71,-128.08,,,,0.19,137.14,36.21,0,2.58,2578,1.815,34.66,160.7,4.84,0.02
26,2599,-11.71,-128.08,1.55,0.06,,,135.385,35.395,0,2.595,2627.666667,1.806666667,34.66,161.6333333,4.84,0.02
26,2650,-11.71,-128.08,,,,0.18,134.795,35.305,0,2.605,2679,1.8,34.67,162.8,4.84,0.02
26,2750,-11.71,-128.08,,,,0.04,136.16,35.325,0,2.595,2781,1.76,34.67,165.5,4.84,0.02
26,2799,-11.71,-128.08,1.49,0.03,,,135.48,35.165,0,2.58,2831,1.74,34.67,167.7,4.84,0.02
26,2900,-11.71,-128.08,,,,0.22,135.43,35.055,0,2.58,2934,1.71,34.67,171,4.84,0.02
26,3500,-11.71,-128.08,,,,0.15,135.28,34.555,0,2.52,3546,1.57,34.68,184.6,4.84,0.02
26,3750,-11.71,-128.08,,,,0.06,135.725,34.595,0,2.53,3802,1.57,34.68,186.9,4.84,0.02
26,3965,-11.71,-128.08,,,,0.16,138.31,34.755,0,2.535,4022,1.56,34.68,187,4.83,0.02
27,20,-11.65,-130,0.24,0.01,,,1.61,3.925,0.08,0.435,20,26.93,35.83,213.5,4.73,0.17
27,45,-11.65,-130,0.32,0,,,1.465,3.9,0.08,0.445,45,26.93,35.84,214.9,4.72,0.17
27,65,-11.65,-130,,,,,1.075,2.81,0.055,0.375,65,26.7,35.97,216.9,4.73,0.21
27,200,-11.65,-130,0.3,0,,,0.88,3.53,0.045,0.45,200,19.23,35.61,197.5,4.8,0.03
28,20,-11.63,-132.5,0.07,0,,0,1.465,2.34,0.05,0.37,20,27.28666667,36,213.4666667,4.736666667,0.143333333
28,41,-11.63,-132.5,0.15,0.01,,,1.465,2.325,0.05,0.36,41,27.29333333,36,212.4,4.736666667,0.153333333
28,61,-11.63,-132.5,0.08,0,,,1.415,2.34,0.05,0.36,61,27.03333333,36,213.7666667,4.74,0.183333333
28,76,-11.63,-132.5,0.12,0.01,,,1.32,2.295,0.045,0.38,76,26.34666667,36.01333333,216.3666667,4.743333333,0.226666667
28,121,-11.63,-132.5,0.16,0,,,1.12,0.615,0.26,0.41,121,25.17666667,36.28333333,202.2666667,4.776666667,0.15
28,272,-11.63,-132.5,0.26,0.01,,,8.54,17.465,0,1.56,273,14.89,34.98666667,123.8,4.81,0.016666667
28,341,-11.63,-132.5,0.59,0.01,,,22.84,29.15,0,2.4,342,11.12333333,34.7,34.83333333,4.81,0.02
28,441,-11.63,-132.5,0.86,0.01,,,29.035,32.275,0,2.235,443,8.83,34.64666667,86.76666667,4.81,0.02
28,611,-11.63,-132.5,0.73,0.01,,,44.855,39.41,0,2.69,614,7.003333333,34.56,65.1,4.82,0.02
28,860,-11.63,-132.5,0.74,0.02,,0.02,65.84,41.545,0,2.895,865,5.226666667,34.51333333,74.8,4.813333333,0.02
28,1501,-11.63,-132.5,0.83,0.01,,,110.645,38.29,0,2.75,1513,3.005,34.58,126.55,4.83,0.02
28,2100,-11.63,-132.5,,,,,131.475,36.885,0,2.655,2120,2.065,34.64,150.95,4.84,0.02
28,2400,-11.63,-132.5,,,,,135.92,36.385,0,2.62,2425,1.87,34.66,157.95,4.84,0.02
28,2500,-11.63,-132.5,,,,,137.285,36.39,0,2.635,2527,1.84,34.66,159.8,4.84,0.02
28,2550,-11.63,-132.5,1.07,0.02,,0.02,137.14,36.01,0,2.575,2578,1.825,34.66,160.8,4.84,0.02
28,2600,-11.63,-132.5,,,,0.04,138.8,36.12,0,2.59,2628,1.81,34.66,161.6,4.84,0.02
28,2700,-11.63,-132.5,,,,0,139.48,36.21,0,2.59,2730,1.79,34.67,163.9,4.84,0.02
28,2800,-11.63,-132.5,,,,0,139.14,36.135,0,2.58,2832,1.76,34.67,166.8,4.84,0.02
28,3000,-11.63,-132.5,,,,0,137.385,35.915,0,2.57,3036,1.68,34.67,173.4,4.84,0.02
28,3500,-11.63,-132.5,,,,0.09,136.505,35.555,0,2.525,3546,1.56,34.68,184.7,4.84,0.02
28,3900,-11.63,-132.5,,,,0.02,136.355,35.495,0,2.52,3955,1.56,34.68,190.1,4.84,0.02
28,4014,-11.63,-132.5,,,,0.11,136.16,35.505,0,2.525,4072,1.56,34.68,191.9,4.84,0.02
29,31,-11.6,-135,0.18,0,,,1.855,3.41,0.07,0.43,31,27.36,35.83,213,4.71,0.15
29,40,-11.6,-135,0.22,0.01,,,1.805,3.4,0.07,0.43,40,27.36,35.83,213.8,4.71,0.16
29,76,-11.6,-135,0.15,0,,,1.465,2.745,0.055,0.425,76,26.56,35.86,211.6,4.73,0.28
29,150,-11.6,-135,0.17,0.03,,,1.265,0.555,2.69,0.485,150,24.89,36.22,196.8,4.78,0.08
29,230,-11.6,-135,,,,,1.66,6.725,0.02,0.695,231,18.93,35.56,188.8,4.81,0.02
30,30,-11.58,-136.98,0.25,0.04,0.03,,1.56,2.505,0.05,0.36,30,27.52333333,35.87,211.7333333,4.73,0.12
30,60,-11.58,-136.98,,,,,1.365,2.54,0.05,0.365,60,27.5,35.88333333,211.7333333,4.736666667,0.16
30,86,-11.58,-136.98,,,,,1.465,2.825,0.08,0.475,86,26.57333333,35.87333333,206.5666667,4.75,0.226666667
30,110,-11.58,-136.98,0.18,0.06,,,1.415,1.545,0.29,0.45,110,25.77333333,36.11666667,197.5333333,4.776666667,0.146666667
30,156,-11.58,-136.98,,,,,1.17,1.36,2.635,0.5,156,22.72333333,36.16,188.5,4.796666667,0.056666667
30,282,-11.58,-136.98,0.36,0.09,,,7.37,16,0,1.435,283,13.31333333,34.81666667,107.8333333,4.806666667,0.02
30,361,-11.58,-136.98,0.65,0.16,,,22.45,29.34,0,2.21,362,10.39333333,34.69666667,65.26666667,4.81,0.02
30,461,-11.58,-136.98,0.88,0.08,,,30.795,32.67,0,2.245,463,8.356666667,34.62,95.8,4.81,0.02
30,712,-11.58,-136.98,0.8,0.14,,,49.245,40.175,0,2.735,716,6.193333333,34.53333333,66.33333333,4.82,0.02
30,867,-11.58,-136.98,0.72,0.26,,,63.89,40.985,0,2.83,872,5.146666667,34.51,80.63333333,4.82,0.02
30,1000,-11.58,-136.98,0.74,0.09,,,76.04,40.575,0,2.76,1006.333333,4.5,34.52,92.6,4.826666667,0.02
30,1501,-11.58,-136.98,0.71,0.03,,,110.155,38.26,0,2.685,1513,3.035,34.58,124.5,4.83,0.02
30,1750,-11.58,-136.98,0.7,0.05,,,120.6,37.615,0,2.65,1765,2.575,34.605,134.15,4.83,0.02
30,2100,-11.58,-136.98,0.85,0.09,,,128.65,36.565,0,2.595,2120,2.07,34.64,151.8,4.83,0.02
30,2400,-11.58,-136.98,0.84,0.02,,,134.26,36.29,0,2.6,2425,1.885,34.66,157.2,4.83,0.02
30,2549,-11.58,-136.98,0.94,0.07,,,135.625,36.075,0,2.535,2577,1.84,34.66,159.65,4.83,0.02
30,2599,-11.58,-136.98,1.02,0.09,,,136.555,36.04,0,2.555,2627,1.82,34.66,160.8,4.83,0.02
30,2699,-11.58,-136.98,1.17,0.17,,,137.045,36.075,0,2.565,2729,1.79,34.66,162.8,4.83,0.02
30,2799,-11.58,-136.98,1.23,0.07,,,137.725,35.99,0,2.565,2831,1.77,34.67,164.9,4.83,0.02
30,2900,-11.58,-136.98,1.24,0.1,,,138.015,35.83,0,2.555,2934,1.73,34.67,167.8,4.83,0.02
31,30,-11.31,-140,0.13,0.06,,,1.755,1.585,0.05,0.32,30,28.07,35.76,210.1,4.74,0.18
31,145,-11.31,-140,0.2,0.04,,,1.365,1.64,2.145,0.48,145,23.34,36.26,187.3,4.79,0.05
32,30,-11.03,-142.95,0.15,0.03,,0,1.365,2.135,0.06,0.345,30,28.23333333,35.68,209.2,4.743333333,0.146666667
32,60,-11.03,-142.95,,,,0,1.415,2.175,0.06,0.355,60,28.22666667,35.68,209.2,4.75,0.173333333
32,95,-11.03,-142.95,0.23,0.02,,0,2.29,2.325,0.67,0.465,95,27.42666667,35.82333333,191.9,4.773333333,0.193333333
32,131,-11.03,-142.95,0.26,0.02,,,2.145,6.36,0.13,0.63,131,25.8,35.96333333,166.6333333,4.793333333,0.07
32,201,-11.03,-142.95,0.32,0.03,,,2.1,7.16,0.02,0.71,201,19.93,35.74333333,172.2,4.803333333,0.02
32,451,-11.03,-142.95,0.77,0.02,,,30.7,31.545,0,2.165,453,8.443333333,34.61666667,113.1333333,4.813333333,0.02
32,601,-11.03,-142.95,0.79,0.03,,,43.39,36.615,0,2.505,604,6.896666667,34.54666667,92.36666667,4.82,0.02
32,1252,-11.03,-142.95,0.61,0.01,,,93.66,37.95,0,2.69,1261,3.593333333,34.55,123.0333333,4.83,0.02
32,1503,-11.03,-142.95,0.67,0.01,,,111.72,37.63,0,2.685,1515,2.94,34.58,131.2,4.83,0.02
32,1750,-11.03,-142.95,0.84,0.02,,,119.525,37.07,0,2.685,1765,2.5,34.605,140.7,4.83,0.02
32,2000,-11.03,-142.95,0.9,0.01,,,128.455,36.775,0,2.665,2019,2.165,34.63,147.25,4.83,0.02
32,2100,-11.03,-142.95,0.77,0.03,,,130.7,36.65,0,2.65,2120,2.075,34.64,149.65,4.83,0.02
32,2799,-11.03,-142.95,1.21,0.06,,,139.285,35.69,0,2.595,2831,1.74,34.67,165.2,4.83,0.02
33,200,-10.91,-145,0.18,0.02,,,0.83,4.095,0.02,0.47,200,20.86,35.94,186.6,4.8,0.02
34,30,-10.77,-147.5,,,0,0,1.805,1.95,0.06,0.335,30,28.485,35.41,208.05,4.76,0.12
34,75,-10.77,-147.5,0.13,0.01,0,0,1.51,2.4,0.07,0.365,75,28.305,35.64,206.4,4.77,0.145
34,151,-10.77,-147.5,0.24,0.02,,,2,6.955,0.29,0.67,151,24.39,36.02,165.15,4.795,0.06
34,301,-10.77,-147.5,0.35,0.02,,,13.03,21.825,0,1.82,302,13.135,34.84,88.55,4.81,0.015
34,351,-10.77,-147.5,0.48,0,,,19.23,26.695,0,1.995,352,10.665,34.68,86.8,4.81,0.02
34,502,-10.77,-147.5,0.67,0,,,32.46,31.935,0,2.16,504,7.8,34.575,122.75,4.825,0.02
34,2100,-10.77,-147.5,0.78,0.02,,,128.845,36.18,0,2.65,2120,2.06,34.64,155.8,4.83,0.02
34,2799,-10.77,-147.5,0.92,0.03,,,139.19,35.935,0,2.545,2831,1.74,34.66,164.1,4.83,0.02
34,2998,-10.77,-147.5,1.02,0.02,,,140.85,35.685,0,2.53,3034,1.67,34.67,169.6,4.83,0.02
35,30,-10.25,-150,0.17,0.01,,,1.805,1.46,0.045,0.29,30,28.51,35.33,208.3,4.76,0.2
35,65,-10.25,-150,0.2,0.01,,,1.61,1.945,0.1,0.38,65,28.65,35.58,201.8,4.77,0.22
35,150,-10.25,-150,0.28,0.02,,,1.41,5.455,0.1,0.58,150,23.38,36.21,169.9,4.81,0.07
35,320,-10.25,-150,0.46,0.01,,,17.96,25.76,0,1.99,321,11.88,34.77,81.2,4.82,0.02
36,30,-10.5,-152,0.21,0.03,0,0,1.76,0.315,0.02,0.2,30,29.10666667,35.23,208.5666667,4.75,0.116666667
36,45,-10.5,-152,0.26,0.02,,0,1.415,0.33,0.02,0.205,45,29.11,35.23,208.7,4.75,0.123333333
36,76,-10.5,-152,0.15,0.03,,,1.76,1.285,0.405,0.365,76,27.99,35.72333333,194.1333333,4.76,0.24
36,100,-10.5,-152,,,,0,1.415,0.185,0.18,0.27,100,26.69666667,36.05333333,206.6,4.783333333,0.166666667
36,201,-10.5,-152,0.23,0.04,,,1.51,5.88,0.02,0.595,201,20.88,35.91333333,175.4,4.81,0.036666667
36,351,-10.5,-152,0.37,0.04,,,19.13,26.635,0,2.05,352,11.01,34.70333333,84.86666667,4.813333333,0.02
36,801,-10.5,-152,0.71,0.02,,,57.79,38.15,0,2.66,805.75,5.5075,34.51,108.4,4.83,0.03
36,1000,-10.5,-152,0.46,0.01,0,0.015,70.045,37.83,0,2.65,1006,4.47,34.51,120.4333333,4.83,0.03
36,1250,-10.5,-152,,,0,0,90.93,37.605,0,2.66,1259,3.605,34.545,126.5,4.84,0.03
36,1751,-10.5,-152,0.86,0.06,,,118.405,36.43,0,2.595,1766,2.45,34.61,147.95,4.84,0.02
36,2100,-10.5,-152,,,,0.01,128.75,36.24,0,2.585,2120,2.075,34.635,154.3,4.84,0.02
36,2201,-10.5,-152,0.67,0.02,,,131.235,36.31,0,2.58,2223,2.01,34.64,154.5,4.84,0.02
36,2400,-10.5,-152,0.74,0,,0.01,134.75,36.155,0,2.565,2425,1.895,34.65,157.85,4.84,0.02
36,2501,-10.5,-152,0.69,0.05,,,136.7,36.135,0,2.565,2527.5,1.855,34.655,158.85,4.84,0.02
36,2600,-10.5,-152,0.73,0.07,0.03,0.01,137.14,36.03,0,2.565,2628,1.815,34.66,161.2,4.84,0.02
36,2700,-10.5,-152,0.82,0.06,0,0.01,138.07,35.975,0,2.56,2730,1.785,34.66,163.4,4.84,0.02
36,3250,-10.5,-152,,,,0.02,137.97,35.205,0,2.5,3291,1.61,34.67,177.1,4.84,0.02
36,3498,-10.5,-152,1.02,0.02,,,136.745,34.8,0,2.48,3544,1.55,34.68,184.4,4.84,0.02
36,5100,-10.5,-152,,,0,0.02,125.325,32.815,0,2.32,5186,1.32,34.69,227.6,4.83,0.02
