STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
7,4500,-12.0,-84.0,0.01,0.0,0.03,1.38,0.19,0.02,0.09,136.015,35.71,0.0,2.615,4570.0,1.83,34.68,175.6,4.84,0.01
9,20,-12.0,-89.0,0.0,,1.88,0.57,0.0,0.08,0.0,5.415,13.9,0.45,1.15,20.0,19.05666667,35.35666667,245.93333330000002,4.703333333,0.22
9,60,-12.0,-89.0,0.0,0.0,1.32,0.52,0.02,0.05,0.0,4.44,13.26,0.52,1.245,60.0,18.05666667,35.32,240.06666669999998,4.73,0.29333333300000003
9,155,-12.0,-89.0,0.0,0.0,1.01,1.1,0.04,0.07,0.41,28.59,13.385,5.075,2.61,156.0,12.88666667,34.88,7.2,4.76,0.036666667
9,250,-12.0,-89.0,0.0,0.0,0.45,1.33,0.04,0.07,0.03,28.89,28.65,0.655,2.585,251.0,11.39,34.81,6.3,4.796666667,0.02
9,625,-12.0,-89.0,0.01,0.29,0.17,1.44,0.04,0.07,0.08,52.91,44.39,0.0,3.125,629.0,6.455,34.535,25.9,4.82,0.02
9,750,-12.0,-89.0,0.01,0.0,0.15,1.2,0.04,0.13,0.32,61.06,44.115,0.0,3.1,755.0,5.575,34.515,44.7,4.83,0.02
9,1000,-12.0,-89.0,0.01,,0.13,1.26,0.01,0.11,0.07,83.66,43.255,0.0,3.13,1007.0,4.39,34.53,64.85,4.83,0.02
9,1500,-12.0,-89.0,0.01,0.0,0.12,1.22,0.02,0.02,0.05,119.625,40.725,0.0,3.015,1512.666667,2.996666667,34.59,95.26666667,4.83,0.02
9,2500,-12.0,-89.0,0.01,0.0,0.2,1.34,0.05,0.1,0.24,143.97,37.58,0.0,2.775,2527.0,1.88,34.66,139.8,4.84,0.02
9,3000,-12.0,-89.0,0.01,0.0,0.08,1.41,0.06,0.03,0.09,140.8,36.52,0.0,2.69,3036.0,1.78,34.67,156.1,4.84,0.01
9,4000,-12.0,-89.0,0.01,0.0,0.02,1.83,0.05,0.05,0.29,138.065,36.105,0.0,2.655,4058.0,1.81,34.68,166.6,4.84,0.01
11,40,-12.0,-94.0,0.0,0.0,2.37,0.14,0.0,0.06,0.0,3.27,9.405,0.34,0.86,40.0,20.94333333,35.47333333,238.9666667,4.7,0.233333333
11,75,-12.0,-94.0,0.0,0.0,1.1,0.13,0.0,0.03,0.0,2.585,6.6,0.41,0.8,75.0,19.98333333,35.55,233.4,4.76,0.236666667
11,110,-12.0,-94.0,0.0,0.0,0.67,0.15,0.0,0.04,0.0,2.39,7.025,0.96,0.855,110.0,18.30666667,35.32,209.0,4.783333333,0.07666666700000001
11,130,-12.0,-94.0,,,0.11,0.17,0.0,0.04,0.07,4.93,14.33,0.04,1.3,130.0,15.95,35.01333333,157.9666667,4.796666667,0.043333332999999995
11,180,-12.0,-94.0,0.0,0.0,0.3,0.41,0.03,0.04,0.04,22.15,20.55,0.02,2.575,181.0,12.92,34.80333333,17.16666667,4.81,0.023333332999999998
11,260,-12.0,-94.0,0.0,0.0,0.21,0.66,0.03,0.08,0.06,27.33,27.115,0.0,2.64,261.0,11.18,34.77,6.9,4.81,0.02
11,320,-12.0,-94.0,0.0,0.28,0.25,0.645,0.01,0.06,0.055,30.795,33.89,0.0,2.625,321.0,10.24,34.73,9.233333333,4.81,0.02
11,1750,-12.0,-94.0,0.01,,0.11,0.66,0.025,0.03,0.07,129.14,39.355,0.0,2.88,1766.0,2.535,34.62,113.4,4.84,0.02
11,2000,-12.0,-94.0,0.01,0.0,0.09,0.84,0.0,0.07,0.06,137.73,38.5,0.0,2.83,2019.0,2.25,34.64,123.6,4.84,0.02
11,2500,-12.0,-94.0,0.01,0.0,0.07,0.97,0.11,0.09,0.12,135.965,36.295,0.0,2.65,2527.0,1.86,34.66,155.1,4.84,0.01
11,3500,-12.0,-94.0,0.01,0.0,0.05,1.4,0.05,0.1,0.25,141.575,36.305,0.0,2.65,3546.0,1.8,34.68,161.3,4.84,0.01
