STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
30,1000,-11.58,-136.98,0.01,0.0,0.1,0.74,0.09,,,76.04,40.575,0.0,2.76,1006.333333,4.5,34.52,92.6,4.826666667,0.02
30,1501,-11.58,-136.98,0.0,0.0,0.05,0.71,0.03,,,110.155,38.26,0.0,2.685,1513.0,3.035,34.58,124.5,4.83,0.02
30,2549,-11.58,-136.98,0.01,0.0,0.04,0.94,0.07,,,135.625,36.075,0.0,2.535,2577.0,1.84,34.66,159.65,4.83,0.02
30,2699,-11.58,-136.98,0.01,0.0,0.04,1.17,0.17,,,137.045,36.075,0.0,2.565,2729.0,1.79,34.66,162.8,4.83,0.02
32,30,-11.03,-142.95,0.0,0.0,1.23,0.15,0.03,,0.0,1.365,2.135,0.06,0.345,30.0,28.23333333,35.68,209.2,4.743333333,0.146666667
32,95,-11.03,-142.95,0.0,0.0,0.75,0.23,0.02,,0.0,2.29,2.325,0.67,0.465,95.0,27.42666667,35.82333333,191.9,4.773333333,0.193333333
32,131,-11.03,-142.95,0.0,0.0,0.39,0.26,0.02,,,2.145,6.36,0.13,0.63,131.0,25.8,35.96333333,166.6333333,4.7933333330000005,0.07
32,201,-11.03,-142.95,0.01,0.0,0.3,0.32,0.03,,,2.1,7.16,0.02,0.71,201.0,19.93,35.74333333,172.2,4.803333333,0.02
32,451,-11.03,-142.95,0.01,0.68,0.16,0.77,0.02,,,30.7,31.545,0.0,2.165,453.0,8.443333333,34.61666667,113.13333329999999,4.813333333,0.02
32,1252,-11.03,-142.95,0.01,0.0,0.08,0.61,0.01,,,93.66,37.95,0.0,2.69,1261.0,3.593333333,34.55,123.03333329999998,4.83,0.02
32,1750,-11.03,-142.95,0.01,0.0,0.1,0.84,0.02,,,119.525,37.07,0.0,2.685,1765.0,2.5,34.605,140.7,4.83,0.02
32,2799,-11.03,-142.95,0.01,0.0,0.04,1.21,0.06,,,139.285,35.69,0.0,2.595,2831.0,1.74,34.67,165.2,4.83,0.02
34,30,-10.77,-147.5,0.01,0.0,0.93,,,0.0,0.0,1.805,1.95,0.06,0.335,30.0,28.485,35.41,208.05,4.76,0.12
34,301,-10.77,-147.5,0.01,0.36,0.17,0.35,0.02,,,13.03,21.825,0.0,1.82,302.0,13.135,34.84,88.55,4.81,0.015
34,2998,-10.77,-147.5,0.0,0.0,-0.01,1.02,0.02,,,140.85,35.685,0.0,2.53,3034.0,1.67,34.67,169.6,4.83,0.02
36,30,-10.5,-152.0,0.01,0.0,1.43,0.21,0.03,0.0,0.0,1.76,0.315,0.02,0.2,30.0,29.10666667,35.23,208.56666669999998,4.75,0.11666666699999999
36,45,-10.5,-152.0,0.01,0.0,1.29,0.26,0.02,,0.0,1.415,0.33,0.02,0.205,45.0,29.11,35.23,208.7,4.75,0.123333333
36,76,-10.5,-152.0,0.0,0.0,1.08,0.15,0.03,,,1.76,1.285,0.405,0.365,76.0,27.99,35.72333333,194.1333333,4.76,0.24
36,1000,-10.5,-152.0,0.0,0.65,0.06,0.46,0.01,0.0,0.015,70.045,37.83,0.0,2.65,1006.0,4.47,34.51,120.43333329999999,4.83,0.03
36,1250,-10.5,-152.0,0.01,0.0,0.05,,,0.0,0.0,90.93,37.605,0.0,2.66,1259.0,3.605,34.545,126.5,4.84,0.03
36,1751,-10.5,-152.0,0.0,0.0,0.02,0.86,0.06,,,118.405,36.43,0.0,2.595,1766.0,2.45,34.61,147.95,4.84,0.02
36,2100,-10.5,-152.0,0.02,0.0,0.02,,,,0.01,128.75,36.24,0.0,2.585,2120.0,2.075,34.635,154.3,4.84,0.02
36,2201,-10.5,-152.0,0.01,0.0,0.05,0.67,0.02,,,131.235,36.31,0.0,2.58,2223.0,2.01,34.64,154.5,4.84,0.02
36,2400,-10.5,-152.0,0.005,0.0,0.04,0.74,0.0,,0.01,134.75,36.155,0.0,2.565,2425.0,1.895,34.65,157.85,4.84,0.02
36,2501,-10.5,-152.0,0.0,0.0,0.04,0.69,0.05,,,136.7,36.135,0.0,2.565,2527.5,1.855,34.655,158.85,4.84,0.02
36,2600,-10.5,-152.0,0.0,0.0,0.01,0.73,0.07,0.03,0.01,137.14,36.03,0.0,2.565,2628.0,1.815,34.66,161.2,4.84,0.02
36,2700,-10.5,-152.0,0.0,0.0,0.03,0.82,0.06,0.0,0.01,138.07,35.975,0.0,2.56,2730.0,1.785,34.66,163.4,4.84,0.02
36,3498,-10.5,-152.0,0.0,0.0,0.03,1.02,0.02,,,136.745,34.8,0.0,2.48,3544.0,1.55,34.68,184.4,4.84,0.02
36,5100,-10.5,-152.0,0.02,0.0,0.02,,,0.0,0.02,125.325,32.815,0.0,2.32,5186.0,1.32,34.69,227.6,4.83,0.02
