STNNBR,lat,lon,depth,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_umolC_L,POC_sink_flag,POC_susp_flag
11,-12.00,-94.00,400,0.00,2,0.32,2,0.20,0,0
11,-12.00,-94.00,600,0.00,2,0.27,2,0.16,0,0
11,-12.00,-94.00,800,0.00,5,0.35,2,0.12,0,0
11,-12.00,-94.00,1000,0.00,2,0.00,2,0.12,0,0
11,-12.00,-94.00,1250,0.01,2,0.00,2,0.10,4,0
11,-12.00,-94.00,1500,0.01,2,0.00,2,0.10,0,0
11,-12.00,-94.00,1750,0.01,2,,5,0.11,0,0
11,-12.00,-94.00,2000,0.01,2,0.00,2,0.09,0,0
11,-12.00,-94.00,2250,0.01,2,0.00,2,0.08,0,0
11,-12.00,-94.00,2500,0.01,2,0.00,2,0.07,0,0
11,-12.00,-94.00,2750,0.01,2,0.00,2,0.08,0,0
11,-12.00,-94.00,3000,0.03,2,0.00,2,0.05,0,0
11,-12.00,-94.00,3500,0.01,2,0.00,2,0.05,4,0
11,-12.00,-94.00,3600,0.01,2,0.00,2,0.27,0,0
11,-12.00,-94.00,3625,0.01,2,0.00,2,0.09,0,0
13,-14.00,-99.00,20,0.00,2,0.00,2,1.90,0,0
13,-14.00,-99.00,60,0.00,2,0.00,2,1.55,0,0
13,-14.00,-99.00,110,0.00,2,0.00,2,0.62,0,0
13,-14.00,-99.00,200,0.00,2,0.00,2,0.22,0,0
13,-14.00,-99.00,250,0.00,2,0.00,2,0.50,0,0
13,-14.00,-99.00,325,0.00,2,0.18,2,0.29,0,0
13,-14.00,-99.00,600,0.00,2,0.39,2,0.17,0,0
13,-14.00,-99.00,900,0.01,2,0.34,2,0.14,0,0
13,-14.00,-99.00,1200,0.00,2,0.00,2,0.12,0,0
13,-14.00,-99.00,1800,0.01,2,0.00,2,0.08,0,0
13,-14.00,-99.00,2400,0.01,2,0.00,2,0.06,0,0
13,-14.00,-99.00,3000,0.02,2,0.00,2,0.04,0,4
13,-14.00,-99.00,3400,0.01,2,0.00,2,0.06,0,0
13,-14.00,-99.00,3700,0.01,2,0.00,2,0.08,0,0
13,-14.00,-99.00,3750,0.01,2,0.00,2,0.07,0,0
13,-14.00,-99.00,3820,0.00,2,0.00,2,0.04,0,4
15,-16.00,-104.00,20,0.00,2,0.00,2,1.21,0,0
15,-16.00,-104.00,75,0.00,2,0.00,2,1.14,0,0
15,-16.00,-104.00,105,0.00,6,0.00,2,0.66,0,0
15,-16.00,-104.00,150,0.00,2,0.00,2,0.40,0,0
15,-16.00,-104.00,225,0.00,2,0.00,2,0.20,0,0
15,-16.00,-104.00,330,0.00,2,0.33,2,0.16,0,0
15,-16.00,-104.00,410,0.00,2,0.39,2,0.21,0,0
15,-16.00,-104.00,750,0.01,2,0.35,2,0.18,0,0
15,-16.00,-104.00,1000,0.00,2,0.00,2,0.11,0,0
15,-16.00,-104.00,1500,0.01,2,0.00,2,0.16,0,0
15,-16.00,-104.00,2000,0.00,2,0.00,2,0.07,0,0
15,-16.00,-104.00,2500,0.01,2,0.00,2,0.06,0,0
15,-16.00,-104.00,3000,0.02,2,0.00,2,0.04,0,0
15,-16.00,-104.00,3500,0.02,2,0.00,2,0.03,0,4
15,-16.00,-104.00,3850,0.02,2,0.00,2,0.07,0,4
15,-16.00,-104.00,3910,0.02,2,0.00,2,0.08,0,0
17,-15.00,-109.19,20,0.00,2,0.00,2,1.64,0,0
17,-15.00,-109.19,50,0.00,2,0.00,2,1.79,0,0
17,-15.00,-109.19,80,0.00,2,0.00,2,1.04,0,0
17,-15.00,-109.19,175,0.01,2,0.00,2,0.17,0,0
17,-15.00,-109.19,250,0.00,2,0.00,2,0.19,0,0
17,-15.00,-109.19,350,0.01,2,0.00,2,0.16,0,0
17,-15.00,-109.19,500,0.00,2,0.00,2,0.13,0,0
17,-15.00,-109.19,750,0.00,2,0.00,2,0.10,0,0
17,-15.00,-109.19,1250,0.00,2,0.00,2,0.09,0,0
17,-15.00,-109.19,2000,0.00,2,0.00,2,0.05,0,0
17,-15.00,-109.19,2400,0.00,2,0.00,2,0.05,0,0
17,-15.00,-109.19,2500,0.02,2,0.00,2,0.04,0,0
17,-15.00,-109.19,2600,0.01,2,0.00,2,0.04,0,0
17,-15.00,-109.19,2700,0.01,2,0.00,2,0.04,0,0
17,-15.00,-109.19,3000,0.01,2,0.00,2,0.05,0,0
17,-15.00,-109.19,3670,0.02,2,0.00,2,0.04,0,0
18,-14.98,-112.75,20,0.01,2,0.00,2,0.65,0,4
18,-14.98,-112.75,60,0.01,2,0.00,2,0.68,0,4
18,-14.98,-112.75,95,0.01,2,0.00,2,0.39,0,4
18,-14.98,-112.75,150,0.01,2,0.00,2,0.27,0,0
18,-14.98,-112.75,200,0.01,2,0.00,2,0.17,0,0
18,-14.98,-112.75,355,0.01,2,0.38,2,0.15,0,0
18,-14.98,-112.75,400,0.01,2,0.51,6,0.16,0,0
18,-14.98,-112.75,600,0.01,2,,5,0.11,0,4
18,-14.98,-112.75,600,0.01,2,0.42,2,0.10,0,0
18,-14.98,-112.75,1000,0.01,2,0.00,2,0.07,0,0
18,-14.98,-112.75,1200,0.01,2,0.00,2,0.06,0,0
18,-14.98,-112.75,1400,0.00,2,0.00,2,0.03,0,4
18,-14.98,-112.75,1600,0.01,2,0.00,2,0.04,0,0
18,-14.98,-112.75,1800,0.01,2,0.00,2,0.05,0,0
18,-14.98,-112.75,2000,0.01,2,0.00,2,0.04,0,0
18,-14.98,-112.75,2200,0.02,2,0.00,2,0.03,0,4
18,-14.98,-112.75,2200,0.01,2,0.00,2,0.04,0,0
18,-14.98,-112.75,2300,0.02,6,0.00,2,0.05,0,0
18,-14.98,-112.75,2350,0.07,2,0.00,6,0.06,0,0
18,-14.98,-112.75,2400,0.11,6,0.00,2,0.07,0,0
18,-14.98,-112.75,2450,0.09,6,0.00,6,0.07,0,0
18,-14.98,-112.75,2500,0.09,2,0.00,2,0.05,0,0
18,-14.98,-112.75,2550,0.15,2,0.00,2,0.06,0,0
18,-14.98,-112.75,2610,,5,0.00,3,0.08,0,0
20,-15.00,-113.50,2000,,5,0.00,3,0.10,8,4
20,-15.00,-113.50,2200,0.01,2,0.00,2,0.03,0,4
20,-15.00,-113.50,2250,0.02,2,0.00,2,0.06,0,0
20,-15.00,-113.50,2300,0.02,2,0.00,2,0.03,0,4
20,-15.00,-113.50,2350,0.03,2,0.00,2,0.06,0,0
20,-15.00,-113.50,2400,0.06,2,0.00,2,0.04,0,0
20,-15.00,-113.50,2450,0.06,2,0.00,2,0.07,0,0
20,-15.00,-113.50,2500,0.09,2,0.00,2,0.04,0,0
20,-15.00,-113.50,2550,0.04,2,0.00,2,0.07,0,0
20,-15.00,-113.50,2600,0.06,2,0.00,2,0.05,0,4
20,-15.00,-113.50,2650,0.04,2,0.00,2,0.05,0,0
20,-15.00,-113.50,2700,0.06,2,0.00,2,0.04,0,4
20,-15.00,-113.50,2800,0.04,2,0.00,2,0.05,0,0
20,-15.00,-113.50,2900,0.03,2,0.00,2,0.03,0,4
20,-15.00,-113.50,3140,0.02,2,0.00,2,0.06,0,0
21,-14.77,-115.00,20,0.00,2,0.00,2,1.55,0,0
21,-14.77,-115.00,60,0.00,2,0.00,2,1.76,0,0
21,-14.77,-115.00,90,0.00,2,0.00,2,0.57,0,0
21,-14.77,-115.00,150,0.01,2,0.00,2,0.35,0,0
21,-14.77,-115.00,225,0.01,2,0.00,2,0.18,0,0
21,-14.77,-115.00,360,0.01,2,0.44,2,0.14,0,0
21,-14.77,-115.00,450,0.00,2,0.56,2,0.15,0,0
21,-14.77,-115.00,750,0.01,2,0.48,2,0.10,0,0
21,-14.77,-115.00,1250,0.00,2,0.00,2,0.06,4,0
21,-14.77,-115.00,2000,0.00,2,0.00,2,0.05,0,0
21,-14.77,-115.00,2300,0.02,2,0.00,2,0.04,0,0
21,-14.77,-115.00,2400,0.02,2,0.00,2,0.04,0,0
21,-14.77,-115.00,2450,0.02,2,0.00,6,0.04,0,0
21,-14.77,-115.00,2600,0.01,6,0.00,2,0.04,0,0
21,-14.77,-115.00,3230,0.00,2,0.00,2,0.04,0,4
23,-14.00,-120.00,20,,5,0.00,3,1.29,8,8
23,-14.00,-120.00,50,0.00,2,0.00,2,1.15,0,0
23,-14.00,-120.00,75,0.00,2,0.00,2,0.97,0,0
23,-14.00,-120.00,120,0.00,2,0.00,2,0.56,0,0
23,-14.00,-120.00,230,0.00,2,0.00,2,0.18,0,0
23,-14.00,-120.00,350,0.00,2,0.41,2,0.15,0,0
23,-14.00,-120.00,500,0.00,2,0.81,2,0.12,0,0
23,-14.00,-120.00,750,0.01,2,0.50,2,0.09,0,0
23,-14.00,-120.00,1500,,2,,2,0.05,0,0
23,-14.00,-120.00,2200,0.00,2,0.00,2,0.03,4,0
23,-14.00,-120.00,2400,0.00,2,0.00,2,0.03,0,0
23,-14.00,-120.00,2450,0.00,2,0.00,2,0.03,0,0
23,-14.00,-120.00,2800,0.00,2,0.00,2,0.03,0,4
23,-14.00,-120.00,3000,0.00,2,0.00,2,0.03,0,4
23,-14.00,-120.00,3300,0.00,2,0.00,2,0.03,0,4
23,-14.00,-120.00,3350,0.00,6,0.00,2,0.03,0,4
25,-12.54,-125.00,20,0.00,2,0.00,2,1.21,0,0
25,-12.54,-125.00,60,0.00,2,0.00,2,1.20,0,0
25,-12.54,-125.00,85,0.00,2,0.00,2,1.14,0,0
25,-12.54,-125.00,150,0.01,2,0.00,2,0.32,0,0
25,-12.54,-125.00,200,0.02,2,0.00,2,0.00,0,4
25,-12.54,-125.00,350,0.01,2,0.60,2,0.15,0,0
25,-12.54,-125.00,500,0.01,2,0.85,2,0.13,0,0
25,-12.54,-125.00,1000,0.00,2,0.54,2,0.09,0,0
25,-12.54,-125.00,1250,0.01,2,0.00,6,0.05,0,0
25,-12.54,-125.00,2000,0.00,2,0.00,2,0.05,0,0
25,-12.54,-125.00,2400,0.01,2,0.00,2,0.04,0,0
25,-12.54,-125.00,2550,0.02,2,0.00,2,0.04,0,0
25,-12.54,-125.00,2650,0.02,2,0.00,6,0.05,0,0
25,-12.54,-125.00,3000,0.04,2,0.00,2,0.05,4,4
25,-12.54,-125.00,3750,0.00,2,0.00,2,0.04,0,0
25,-12.54,-125.00,3920,0.00,2,0.00,2,-0.02,0,4
26,-11.67,-128.00,20,0.00,2,0.00,3,1.17,0,0
26,-11.67,-128.00,45,0.00,2,0.00,2,1.30,0,0
26,-11.67,-128.00,80,0.00,6,0.00,2,0.90,0,0
26,-11.67,-128.00,100,0.00,2,0.00,2,0.68,0,0
26,-11.67,-128.00,140,0.01,2,0.00,2,0.33,0,0
26,-11.67,-128.00,200,0.00,2,0.00,2,0.18,0,0
26,-11.67,-128.00,250,0.01,2,0.00,6,0.17,0,0
26,-11.67,-128.00,335,0.01,2,,5,0.14,0,0
26,-11.67,-128.00,550,0.01,2,0.00,2,0.11,0,0
26,-11.67,-128.00,850,0.01,2,,5,0.09,0,0
26,-11.67,-128.00,1000,0.02,2,,5,0.05,0,0
26,-11.67,-128.00,1250,0.02,2,,5,0.04,0,4
26,-11.67,-128.00,1500,0.01,2,,5,0.05,0,0
26,-11.67,-128.00,2000,0.03,2,,5,0.02,0,4
26,-11.67,-128.00,2200,0.00,2,0.00,2,0.03,0,4
26,-11.67,-128.00,2400,0.03,2,,5,0.02,0,4
26,-11.67,-128.00,2550,0.03,2,0.00,2,0.02,0,4
26,-11.67,-128.00,2650,0.02,2,0.00,6,0.02,0,4
26,-11.67,-128.00,2750,0.00,2,0.00,2,0.03,0,4
26,-11.67,-128.00,3000,0.03,2,0.00,2,0.02,0,4
26,-11.67,-128.00,3750,0.00,2,0.00,2,0.04,0,0
26,-11.67,-128.00,3900,0.02,2,0.00,2,0.06,0,4
26,-11.67,-128.00,3960,0.01,2,0.00,2,0.06,0,0
28,-11.63,-132.50,20,0.00,2,0.00,2,1.23,0,0
28,-11.63,-132.50,75,0.00,2,0.00,2,1.02,0,0
28,-11.63,-132.50,120,0.00,2,0.00,2,0.47,0,0
28,-11.63,-132.50,220,0.01,2,0.00,2,0.20,0,0
28,-11.63,-132.50,440,0.00,2,0.57,6,0.14,0,0
28,-11.63,-132.50,610,0.01,2,0.53,2,0.11,0,0
28,-11.63,-132.50,860,0.01,2,0.00,2,0.07,4,0
28,-11.63,-132.50,1500,0.02,2,0.00,2,0.06,0,0
28,-11.63,-132.50,2200,0.01,2,0.00,2,0.05,0,0
28,-11.63,-132.50,2550,0.02,2,0.00,2,0.04,0,0
28,-11.63,-132.50,2650,0.02,2,0.00,6,0.03,0,0
28,-11.63,-132.50,3000,0.02,2,0.00,2,0.03,0,4
28,-11.63,-132.50,3500,0.00,2,0.00,2,0.02,4,4
28,-11.63,-132.50,3900,0.05,2,0.00,2,0.03,0,4
28,-11.63,-132.50,4010,0.01,2,0.00,2,0.04,0,0
30,-11.58,-136.98,30,0.00,2,0.00,2,1.05,0,0
30,-11.58,-136.98,85,0.00,2,0.00,2,0.94,0,0
30,-11.58,-136.98,155,0.01,2,0.00,2,0.35,0,0
30,-11.58,-136.98,200,0.00,2,0.00,2,0.24,0,0
30,-11.58,-136.98,360,0.01,3,0.52,3,0.17,0,0
30,-11.58,-136.98,460,0.00,2,0.57,2,0.14,0,0
30,-11.58,-136.98,710,0.00,2,0.00,2,0.09,0,0
30,-11.58,-136.98,1000,0.01,2,0.00,2,0.10,0,0
30,-11.58,-136.98,1500,0.00,2,0.00,2,0.05,0,0
30,-11.58,-136.98,2200,0.03,2,0.00,2,0.05,0,0
30,-11.58,-136.98,2550,0.01,2,0.00,2,0.04,0,0
30,-11.58,-136.98,2700,0.01,2,0.00,2,0.04,0,0
30,-11.58,-136.98,3000,0.01,2,0.00,2,0.04,0,0
30,-11.58,-136.98,3500,0.02,2,0.00,2,-0.03,0,4
30,-11.58,-136.98,3900,0.01,2,0.00,2,0.03,0,0
30,-11.58,-136.98,4050,0.01,2,0.00,2,0.05,0,0
32,-11.03,-142.95,30,0.00,2,0.00,2,1.23,0,0
32,-11.03,-142.95,95,0.00,2,0.00,2,0.75,0,0
32,-11.03,-142.95,130,0.00,2,0.00,2,0.39,0,0
32,-11.03,-142.95,200,0.01,2,0.00,2,0.30,0,0
32,-11.03,-142.95,335,0.01,2,0.61,2,0.15,0,0
32,-11.03,-142.95,450,0.01,2,0.68,2,0.16,0,0
32,-11.03,-142.95,850,0.00,2,0.47,2,0.12,0,0
32,-11.03,-142.95,1250,0.01,2,0.00,2,0.08,0,0
32,-11.03,-142.95,1750,0.01,2,0.00,2,0.10,0,0
32,-11.03,-142.95,2200,0.02,2,0.00,2,0.02,0,0
32,-11.03,-142.95,2550,0.02,2,0.00,2,0.03,0,0
32,-11.03,-142.95,2650,0.02,2,0.00,2,0.05,0,0
32,-11.03,-142.95,2800,0.01,2,0.00,2,0.04,0,0
32,-11.03,-142.95,3000,0.04,2,0.00,2,0.01,0,4
32,-11.03,-142.95,3500,0.00,2,0.00,2,0.04,0,0
32,-11.03,-142.95,4000,0.00,2,0.00,2,-0.01,0,4
34,-10.77,-147.50,30,0.01,2,0.00,2,0.93,0,0
34,-10.77,-147.50,45,0.01,2,0.00,2,0.91,0,0
34,-10.77,-147.50,130,0.00,2,0.00,2,0.43,0,0
34,-10.77,-147.50,300,0.01,2,0.36,2,0.17,4,0
34,-10.77,-147.50,2400,0.01,2,0.88,2,0.04,0,0
34,-10.77,-147.50,2550,0.00,2,0.00,2,0.05,0,0
34,-10.77,-147.50,2700,0.00,2,0.00,2,0.04,0,0
34,-10.77,-147.50,3000,0.00,2,0.00,2,-0.01,0,4
36,-10.50,-152.00,30,0.01,2,0.00,2,1.43,0,0
36,-10.50,-152.00,45,0.01,2,0.00,2,1.29,0,0
36,-10.50,-152.00,75,0.00,2,0.00,2,1.08,0,0
36,-10.50,-152.00,130,0.00,2,0.00,2,0.44,0,0
36,-10.50,-152.00,300,0.01,2,0.38,2,0.19,0,0
36,-10.50,-152.00,450,0.00,2,0.34,2,0.17,0,0
36,-10.50,-152.00,600,0.00,2,0.68,2,0.12,0,0
36,-10.50,-152.00,1000,0.00,2,0.65,2,0.06,0,0
36,-10.50,-152.00,1250,0.01,2,0.00,2,0.05,0,0
36,-10.50,-152.00,1500,0.01,2,0.00,2,0.04,0,0
36,-10.50,-152.00,1750,0.00,2,0.00,2,0.02,0,4
36,-10.50,-152.00,2000,0.00,2,0.00,2,0.02,0,4
36,-10.50,-152.00,2100,0.02,2,0.00,2,0.02,0,4
36,-10.50,-152.00,2200,0.01,2,0.00,2,0.05,0,0
36,-10.50,-152.00,2300,0.00,2,0.00,2,0.05,0,0
36,-10.50,-152.00,2400,0.00,2,0.00,2,0.04,0,4
36,-10.50,-152.00,2400,0.01,6,0.00,2,0.04,0,0
36,-10.50,-152.00,2500,0.00,2,0.00,2,0.04,0,4
36,-10.50,-152.00,2600,0.00,2,0.00,2,0.01,4,4
36,-10.50,-152.00,2700,0.00,2,0.00,2,0.03,0,4
36,-10.50,-152.00,2800,0.00,2,0.00,2,0.02,0,4
36,-10.50,-152.00,3000,0.03,2,0.00,2,0.03,0,4
36,-10.50,-152.00,3500,0.00,2,0.00,2,0.03,0,4
36,-10.50,-152.00,4000,0.00,2,0.00,2,0.05,0,0
36,-10.50,-152.00,4750,0.02,2,0.00,2,0.02,0,4
36,-10.50,-152.00,5000,0.03,2,0.00,2,0.01,0,4
36,-10.50,-152.00,5105,0.02,2,0.00,2,0.02,0,4
