Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2010,6,2,27.52,-22.00,0.18,2,0.06,2,,4,30.00,4
2010,6,41,27.52,-22.00,0.50,2,0.07,2,24.00,2,,4
2010,6,66,27.52,-22.00,0.34,2,0.06,2,23.00,2,,4
2010,6,91,27.52,-22.00,0.29,2,0.09,2,30.00,2,,4
2010,6,116,27.52,-22.00,0.23,2,0.08,2,30.00,2,,4
2010,6,135,27.52,-22.00,0.23,2,0.10,2,30.00,2,,4
2010,6,186,27.52,-22.00,0.26,2,0.14,2,,4,29.00,4
2010,6,302,27.52,-22.00,0.41,2,0.19,2,49.00,2,,4
2010,6,401,27.52,-22.00,0.59,2,0.20,2,58.00,2,,4
2010,6,602,27.52,-22.00,0.65,2,0.37,2,49.00,2,,4
2010,6,801,27.52,-22.00,0.70,2,0.39,2,37.00,2,,4
2010,6,1003,27.52,-22.00,0.71,2,0.35,2,,4,,4
2010,6,1202,27.52,-22.00,0.66,2,0.32,2,51.00,2,,4
2010,7,2,24.00,-22.00,0.21,2,0.03,2,,4,,4
2010,7,35,24.00,-22.00,0.47,2,0.05,2,20.00,2,,4
2010,7,46,24.00,-22.00,0.30,2,0.07,2,22.00,2,,4
2010,7,71,24.00,-22.00,0.26,2,0.07,2,23.00,2,,4
2010,7,151,24.00,-22.00,0.41,2,0.18,2,36.00,2,,4
2010,7,201,24.00,-22.00,0.44,2,0.21,2,42.00,2,,4
2010,7,351,24.00,-22.00,0.55,2,0.25,2,48.00,2,,4
2010,7,398,24.00,-22.00,0.46,2,0.28,2,,4,,4
2010,7,451,24.00,-22.00,0.69,2,0.38,2,55.00,2,,4
2010,7,501,24.00,-22.00,0.65,2,0.36,2,60.00,2,,4
2010,7,751,24.00,-22.00,0.80,2,0.44,2,52.00,2,,4
2010,7,1001,24.00,-22.00,0.60,2,0.39,2,42.00,2,,4
2010,7,1201,24.00,-22.00,0.51,3,0.34,2,,4,,4
2010,7,1499,24.00,-22.00,0.60,2,0.32,2,39.00,2,,4
2010,7,1750,24.00,-22.00,0.54,2,0.29,2,32.00,2,,4
2010,7,1999,24.00,-22.00,0.55,2,0.28,2,32.00,2,,4
2010,7,2248,24.00,-22.00,0.76,2,0.24,2,,4,,4
2010,7,2499,24.00,-22.00,0.72,2,0.26,2,24.00,2,,4
2010,7,2749,24.00,-22.00,1.01,2,0.30,2,,4,,4
2010,7,2998,24.00,-22.00,0.77,2,0.33,2,20.00,2,,4
2010,7,3248,24.00,-22.00,0.74,2,0.34,2,24.00,2,174.00,4
