Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,MMHgP_pmol_ug,POC_ugram_L
2010,6,135,27.52,-22.0,0.23,0.1,30.0,,136.0,18.4804,36.6429,213.1,4.6272,0.08199999999999999,0.68,0.525,0.03,0.03,,,1.796
2010,6,1003,27.52,-22.0,0.71,0.35,,,1013.0,8.1803,35.3717,160.1,4.6692,0.004,15.51,22.845,0.0,1.5,0.003967585,0.10514099800000001,1.3175
2010,7,35,24.0,-22.0,0.47,0.05,20.0,,35.0,25.5905,36.7807,207.55,4.5981,0.0435,0.5349999999999999,0.0,0.0,0.09,0.00181918,0.016372621,14.21381
2010,7,71,24.0,-22.0,0.26,0.07,23.0,,71.0,22.21075,36.8736,200.55,4.58865,0.21600000000000003,0.78,0.19,0.05,0.1,,,
2010,7,151,24.0,-22.0,0.41,0.18,36.0,,152.0,17.2526,36.24815,104.8,4.6384,0.0095,4.73,15.344999999999999,0.015,0.96,,,
2010,7,201,24.0,-22.0,0.44,0.21,42.0,,202.0,16.46075,36.218,118.4,4.6406,0.006,5.02,15.15,0.01,0.935,,,
2010,7,351,24.0,-22.0,0.55,0.25,48.0,,354.0,14.20805,35.91235,133.2,4.65095,0.0045,5.705,16.32,0.01,0.98,0.002392615,0.181838773,3.094478
2010,7,398,24.0,-22.0,0.46,0.28,,,401.0,13.67705,35.8521,146.9,4.6524,0.0045,5.9,15.94,0.01,0.97,,,3.069387
2010,7,451,24.0,-22.0,0.69,0.38,55.0,,454.5,12.46145,35.62315,99.55,4.64895,0.0055,8.925,22.175,0.01,1.3450000000000002,,,
2010,7,501,24.0,-22.0,0.65,0.36,60.0,,505.0,12.04935,35.6108,127.75,4.6549,0.0045,8.78,20.51,0.01,1.255,0.002520786,0.05209624400000001,2.70865
2010,7,751,24.0,-22.0,0.8,0.44,52.0,,758.0,8.71755,35.18775,105.6,4.6628,0.005,17.515,29.145,0.0,1.87,0.00252294,0.23841781399999998,1.5836940000000002
2010,7,1001,24.0,-22.0,0.6,0.39,42.0,,1010.5,7.2479,35.153,142.9,4.6696,0.005,19.61,26.415,0.0,1.77,0.002928408,0.111279495,1.2416530000000001
2010,7,1201,24.0,-22.0,0.51,0.34,,,1213.0,6.77545,35.24005,168.6,4.6717,0.004,18.93,23.605,0.005,1.565,,,
2010,7,1499,24.0,-22.0,0.6,0.32,39.0,,1515.0,5.4962,35.1771,198.6,4.6753,0.004,20.585,21.925,0.0,1.51,0.0020341779999999998,0.065093704,1.188105
2010,7,2499,24.0,-22.0,0.72,0.26,24.0,,2532.5,3.25075,34.98255,233.65,4.6789,0.0045,31.57,20.880000000000003,0.0,1.45,,,
2010,7,3498,24.0,-22.0,0.89,0.35,,,3553.0,2.5028,34.9101,240.3,4.6812,0.004,42.94,21.625,0.005,1.5,0.003014164,0.08741074300000001,0.5543
2010,7,4157,24.0,-22.0,0.81,0.34,19.0,59.0,4229.0,2.3647,34.8894,244.2,4.6813,0.004,46.355000000000004,21.73,0.005,1.5150000000000001,0.0036533679999999997,,0.519945
2010,7,4496,24.0,-22.0,,0.33,20.0,112.0,4578.0,2.3853,34.8866,244.0,4.6792,0.004,47.185,21.759999999999998,0.0,1.505,0.00287221,0.126377225,0.571304
2010,8,35,21.0,-22.0,0.85,0.06,23.0,,35.0,26.1932,36.8235,203.0,4.5954,0.044000000000000004,0.5349999999999999,0.01,0.0,0.045,0.0017125760000000002,,14.6873
2010,8,111,21.0,-22.0,0.63,0.15,39.0,,112.0,19.387,36.6914,150.9,4.6296,0.067,1.4100000000000001,3.955,0.08,0.3,0.001891198,,9.5519
2010,8,186,21.0,-22.0,0.62,0.17,41.0,,187.0,16.7762,36.3492,144.6,4.6471,0.004,3.3600000000000003,11.065000000000001,0.01,0.675,,,
2010,8,285,21.0,-22.0,0.78,0.21,,,287.0,14.5673,35.9633,129.8,4.6498,0.004,5.365,15.825,0.005,0.96,0.003241165,,2.8691
2010,9,28,17.35,-18.25,0.58,0.09,17.0,14.0,28.0,27.94185,35.766,199.05,4.5831,0.0425,0.9299999999999999,0.0,0.0,0.035,0.0014821279999999999,0.013932006,19.5943
2010,9,49,17.35,-18.25,,0.11,23.0,,49.0,19.7874,36.0085,132.05,4.5257,0.3835,2.49,5.51,0.355,0.69,0.001016612,,15.3094
2010,9,89,17.35,-18.25,0.66,0.24,20.0,,89.0,15.50455,35.69895,52.6,4.627,0.075,6.92,23.285,0.03,1.52,0.002228198,,7.1179
