Year,station_GEOTRC,depth_n,lat,lon,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2010,10,420,17.3515,-20.8164,,2,,2,0.5523,1,1
2010,10,665,17.3515,-20.8164,0.002107724,2,0.464753064,2,2.5908,1,1
2010,10,800,17.3515,-20.8164,,2,,2,,1,1
2010,10,965,17.3515,-20.8164,,4,0.470562043,2,1.6355,8,1
2010,10,1500,17.3515,-20.8164,,2,,4,,1,1
2010,10,2000,17.3515,-20.8164,,4,0.094412277,2,1.347,8,1
2010,10,3000,17.3515,-20.8164,,2,,4,,1,1
2010,10,3200,17.3536,-20.8277,0.003141246,2,0.295277136,2,0.984,8,1
2010,10,3250,17.3536,-20.8277,0.003090292,2,0.284306878,2,1.0519,8,1
2010,10,3305,17.3536,-20.8277,0.002814368,2,0.274400926,2,1.0224,8,1
2010,11,29,17.3521,-22.7837,0.000874175,6,0.012588121,2,29.541,1,1
2010,11,63,17.3521,-22.7837,0.000703363,2,0.004923544,2,15.4087,1,1
2010,11,85,17.3521,-22.7837,0.001055347,2,,4,8.1559,1,1
2010,11,135,17.3521,-22.7837,,2,0.132720418,2,4.4918,1,1
2010,11,180,17.3521,-22.7837,,2,,2,,1,1
2010,11,250,17.3521,-22.7837,0.003091407,2,0.091711733,2,3.0354,1,1
2010,11,450,17.3521,-22.7837,0.001062336,2,0.3240124,2,2.4586,1,1
2010,11,600,17.3521,-22.7837,0.002495748,2,0.133522511,2,2.2157,1,1
2010,11,800,17.3521,-22.7837,,2,,2,,1,1
2010,11,900,17.3521,-22.7837,0.002372735,2,0.398619543,2,1.3703,8,1
2010,11,1500,17.3521,-22.7837,,2,,2,,1,1
2010,11,2000,17.3521,-22.7837,0.001468934,2,,4,1.061,8,1
2010,11,2500,17.3521,-22.7837,,6,,4,,1,1
2010,11,3000,17.3502,-22.7837,0.00173794,2,0.185959534,2,0.6993,8,1
2010,11,3200,17.3502,-22.7837,0.001811286,2,0.068828859,2,0.806,8,1
2010,11,3300,17.3502,-22.7837,0.002225261,2,0.061194676,2,1.5539,8,1
2010,12,38,17.3998,-24.4998,0.001271475,2,,4,17.7161,1,1
2010,12,73,17.3998,-24.4998,0.001206368,2,0.001608491,2,11.2375,1,1
2010,12,90,17.3998,-24.4998,0.00153024,2,0.069880952,2,8.3799,1,1
2010,12,135,17.3998,-24.4998,,2,,2,,1,1
2010,12,185,17.3998,-24.4998,0.004389902,2,0.024144463,2,3.6105,1,1
2010,12,235,17.3998,-24.4998,,2,,2,,1,1
2010,12,450,17.3998,-24.4998,0.002958487,2,0.556195465,2,2.8309,1,1
2010,12,600,17.3998,-24.4998,0.00250015,2,0.940056403,2,2.5062,1,1
2010,12,800,17.3998,-24.4998,,2,,2,,8,1
2010,12,1080,17.3998,-24.4998,,2,,2,,8,1
2010,12,1500,17.3998,-24.4998,,2,,2,,1,1
2010,12,2000,17.3998,-24.4998,0.003123907,2,0.223359324,2,0.9872,8,1
2010,12,2500,17.3998,-24.4998,,2,,4,,1,1
2010,12,3000,17.404,-24.4962,0.00449796,2,0.186665347,2,0.6543,8,1
2010,12,3250,17.404,-24.4962,0.004577895,2,,4,0.5829,8,1
2010,12,3500,17.404,-24.4962,0.002954489,2,,4,0.7076,8,1
2011,1,30,39.7,-69.8,0.002553296,2,0.001276648,2,34.6743,1,1
2011,1,58,39.7,-69.8,0.002239504,2,,4,13.442,1,1
2011,1,90,39.7,-69.8,0.00361158,2,0.006320265,2,5.6161,1,1
2011,1,112,39.7,-69.8,,2,,2,,1,1
2011,1,137,39.7,-69.8,,2,0.015669354,2,4.9189,1,1
2011,1,186,39.7,-69.8,0.001778813,2,0.008894067,2,3.0521,1,1
2011,1,236,39.7,-69.8,0.003271209,2,,4,2.5716,1,1
2011,1,612,39.7,-69.8,,2,,2,,1,1
2011,1,912,39.7,-69.8,,2,,4,1.5669,1,1
2011,1,1147,39.7,-69.8,,2,,2,,1,1
2011,1,1446,39.7,-69.8,,2,,4,,1,1
2011,1,1596,39.7,-69.8,0.001059176,2,0.001588764,2,2.5055,1,1
2011,1,1946,39.7,-69.8,0.000856357,2,0.004281786,2,4.0731,1,1
2011,1,2006,39.7,-69.8,0.001007182,2,0.001007182,2,3.6118,1,1
2011,2,30,39.35,-69.54,0.002166496,2,0,2,43.5039,1,1
2011,2,46,39.35,-69.54,0.00182527,2,,4,32.271,1,1
2011,2,70,39.35,-69.54,0.002517631,2,0.001258815,2,8.9223,1,1
2011,2,102,39.35,-69.54,,2,,4,,1,1
2011,2,137,39.35,-69.54,0.00275441,2,0.00275441,2,5.7349,1,1
2011,2,189,39.35,-69.54,0.003114387,2,0.01635053,2,4.3129,1,1
2011,2,236,39.35,-69.54,0.002090662,2,,4,3.4645,1,1
2011,2,420,39.35,-69.54,0.002146491,2,,2,2.5856,1,1
2011,2,667,39.35,-69.54,0.005067566,2,0.011148645,2,2.216,1,1
2011,2,827,39.35,-69.54,,2,,4,,1,1
2011,2,967,39.35,-69.54,0.004007767,2,0.01703301,2,2.3193,1,1
2011,2,1207,39.35,-69.54,,2,,2,,1,1
2011,2,1506,39.35,-69.54,0.002545067,2,,2,1.4332,1,1
2011,2,2004,39.35,-69.54,,2,,4,,1,1
2011,2,2207,39.35,-69.54,0.001382196,2,,2,1.009,1,1
2011,2,2386,39.35,-69.54,0.003118973,2,0.006237946,2,1.4613,1,1
2011,3,28,38.67,-69.1,0.001918853,2,0.001096487,2,20.0762,1,1
2011,3,61,38.67,-69.1,0.002057725,2,,4,18.481,1,1
2011,3,85,38.67,-69.1,0.002564812,2,0.000512962,2,7.8819,1,1
2011,3,135,38.67,-69.1,0.002976235,2,,4,4.0313,1,1
2011,3,181,38.67,-69.1,0.003717168,2,,4,3.4651,1,1
2011,3,228,38.67,-69.1,0.003258136,2,0.017376723,2,3.2243,1,1
2011,3,509,38.67,-69.1,0.001262699,2,0.004735121,2,2.378,1,1
2011,3,629,38.67,-69.1,,2,,2,,1,1
2011,3,1017,38.67,-69.1,0.002008355,2,0.00401671,2,1.9034,1,1
2011,3,1175,38.67,-69.1,0.002530885,2,,2,1.7071,1,1
2011,3,1778,38.67,-69.1,0.002977469,2,0.00099249,2,1.8928,1,1
2011,3,2267,38.67,-69.1,,2,,2,,1,1
2011,3,2430,38.67,-69.1,0.001368946,2,0.010951568,2,0.9046,1,1
2011,3,2613,38.67,-69.1,,2,,2,,1,1
2011,3,2734,38.67,-69.1,0.002273102,2,0.010228958,2,0.7379,1,1
2011,4,40,38.09,-68.7,,2,,2,3.7228,1,1
2011,4,90,38.09,-68.7,0.002177988,2,,4,9.0691,1,4
2011,4,111,38.09,-68.7,0.004516434,2,,2,8.3067,1,1
2011,4,137,38.09,-68.7,0.005061922,2,0.002024769,2,5.2905,1,1
2011,4,186,38.09,-68.7,0.005762643,2,0.001440661,2,3.5483,1,1
2011,4,238,38.09,-68.7,0.005487691,2,,4,3.4796,1,1
2011,4,419,38.09,-68.7,,2,,2,,1,1
2011,4,619,38.09,-68.7,0.006697744,2,0.006697744,2,1.9151,1,1
2011,4,953,38.09,-68.7,0.002923028,2,0.001461514,2,1.5705,1,1
2011,4,1109,38.09,-68.7,,6,,2,,1,1
2011,4,1331,38.09,-68.7,0.002127526,2,,2,1.6161,1,1
2011,4,1898,38.09,-68.7,,2,,2,,1,1
2011,4,2442,38.09,-68.7,0.002551518,2,,4,1.5354,1,1
2011,4,3251,38.09,-68.7,0.001408096,2,0.002816191,2,1.0739,1,1
2011,4,3598,38.09,-68.7,0.000216544,6,6.18697E-05,2,5.479499,1,1
2011,4,3662,38.09,-68.7,0.000240307,2,,2,8.688401,1,1
2011,6,38,37.61,-68.39,0.00149393,2,,2,16.3285,1,1
2011,6,86,37.61,-68.39,,2,,2,,1,1
2011,6,105,37.61,-68.39,0.002067733,6,,4,10.5216,1,1
2011,6,133,37.61,-68.39,,4,,2,1.796,1,1
2011,6,204,37.61,-68.39,0.001264691,2,0.003794073,2,7.2418,1,1
2011,6,380,37.61,-68.39,0.002318237,2,,4,2.8569,1,1
2011,6,526,37.61,-68.39,,2,,2,,1,1
2011,6,712,37.61,-68.39,0.002562621,2,0.105067455,2,1.8407,1,1
2011,6,1002,37.61,-68.39,0.003967585,2,0.105140998,2,1.3175,1,1
2011,6,1436,37.61,-68.39,0.002141259,2,0.003211888,2,1.1291,1,1
2011,6,1871,37.61,-68.39,0.005357305,2,,2,1.1912,1,1
2011,6,2305,37.61,-68.39,0.003485195,2,0.012198182,2,0.5999,1,1
2011,6,2805,37.61,-68.39,,2,,2,,1,1
2011,6,3305,37.61,-68.39,0.006954055,2,0.048678382,2,0.5687,1,1
2011,6,3501,37.61,-68.39,,2,,2,,1,1
2011,6,3594,37.61,-68.39,0.001877391,2,,2,0.6217,1,4
2011,8,30,35.42,-66.52,0.001712576,2,,2,14.6873,1,1
2011,8,65,35.42,-66.52,0.001722929,2,,4,11.9611,1,1
2011,8,110,35.42,-66.52,0.001891198,2,,4,9.5519,1,1
2011,8,185,35.42,-66.52,,2,,4,,1,1
2011,8,284,35.42,-66.52,0.003241165,2,,4,2.8691,1,1
2011,8,546,35.42,-66.52,0.003022538,2,0.003022538,2,4.5624,1,1
2011,8,793,35.42,-66.52,,6,,2,1.0438,1,1
2011,8,990,35.42,-66.52,0.001778862,2,0.030240662,2,3.8881,1,1
2011,8,1501,35.42,-66.52,,2,,2,,1,1
2011,8,2101,35.42,-66.52,0.003457133,2,0.006914267,2,0.9363,4,1
2011,8,2701,35.42,-66.52,,2,,4,,1,1
2011,8,3300,35.42,-66.52,0.014801307,2,0.029602615,2,0.6049,4,1
2011,8,3901,35.42,-66.52,,2,,2,,1,1
2011,8,4251,35.42,-66.52,0.004700507,2,0.002350254,2,0.3458,1,4
2011,8,4779,35.42,-66.52,0.00043416,2,0.000347328,2,3.1038,1,1
2011,8,4889,35.42,-66.52,0.000315594,2,0.000178379,2,27.3953,1,1
2011,10,41,31.75,-64.17,0.004021656,2,,2,12.1837,1,4
2011,10,76,31.75,-64.17,0.004294013,2,0.001073503,2,10.1452,1,1
2011,10,91,31.75,-64.17,0.003336945,2,,4,8.8341,1,1
2011,10,111,31.75,-64.17,,2,,4,,1,1
2011,10,185,31.75,-64.17,0.003834851,2,,4,3.8414,1,1
2011,10,235,31.75,-64.17,,2,,4,,1,1
2011,10,417,31.75,-64.17,0.006567465,2,0.006567465,2,2.4883,1,1
2011,10,794,31.75,-64.17,0.005097741,2,0.02209021,2,1.9783,1,1
2011,10,1201,31.75,-64.17,,2,,4,,1,1
2011,10,1801,31.75,-64.17,0.003752514,2,0.052535199,2,0.8272,1,1
2011,10,2301,31.75,-64.17,,2,,2,,1,1
2011,10,3006,31.75,-64.17,0.004512289,2,0.018049157,2,0.922,1,1
2011,10,3603,31.75,-64.17,0.001937752,2,,4,0.8734,1,1
2011,10,3904,31.75,-64.17,0.000708915,2,0.002835659,2,1.0952,1,1
2011,10,4447,31.75,-64.17,0.000550469,2,,4,1.4853,1,1
2011,10,4492,31.75,-64.17,0.001366615,2,,2,1.8725,1,1
2011,12,40,29.7,-56.82,0.001297329,2,,4,11.2535,1,1
2011,12,100,29.7,-56.82,0.010430582,2,0.001604705,2,7.3927,1,1
2011,12,185,29.7,-56.82,0.00383539,2,,4,3.1127,1,1
2011,12,236,29.7,-56.82,0.004449177,6,0.002966118,2,2.3521,1,1
2011,12,286,29.7,-56.82,,2,,2,,1,1
2011,12,420,29.7,-56.82,0.008304521,2,0.001384087,2,2.2314,1,1
2011,12,574,29.7,-56.82,,6,,2,,1,1
2011,12,746,29.7,-56.82,0.00936805,2,0.02623054,2,1.4905,1,1
2011,12,1002,29.7,-56.82,0.003867238,2,0.011601713,2,1.1085,1,1
2011,12,1502,29.7,-56.82,,2,,2,,1,1
2011,12,2102,29.7,-56.82,0.007053753,2,0.003526877,2,0.7441,4,1
2011,12,3004,29.7,-56.82,0.004778676,2,0.033450729,2,0.7698,4,4
2011,12,3904,29.7,-56.82,0.026194925,2,0.017463283,2,0.7062,1,4
2011,12,4704,29.7,-56.82,,2,,2,,1,1
2011,12,5108,29.7,-56.82,0.005104684,2,,4,0.5177,1,4
2011,12,5485,29.7,-56.82,0.005364346,2,,2,0.7876,1,4
2011,14,40,27.58,-49.63,0.000662953,2,,4,15.2487,1,1
2011,14,95,27.58,-49.63,0.000661393,2,,4,8.1974,4,1
2011,14,135,27.58,-49.63,0.001085102,2,,2,4.4715,4,1
2011,14,187,27.58,-49.63,0.003069231,2,,2,3.0197,1,1
2011,14,237,27.58,-49.63,0.000882082,2,,2,4.3699,1,1
2011,14,432,27.58,-49.63,0.00165001,2,,2,1.5442,4,1
2011,14,551,27.58,-49.63,0.001934509,2,,2,1.1838,1,1
