Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,1,2701,38.33,-9.66,1.27,0.92,21,,2739,2.9667,34.9646,243.2,4.6716,0.005,33.67,20.08,0,1.39
2010,1,2701,38.33,-9.66,1.27,0.92,21,,2739,2.9667,34.9646,243.2,4.6716,0.005,33.96,20.14,0,1.4
2010,2,49,36.76,-12.83,,,,,49,21.1178,36.5255,221.4,4.6161,0.042,0.39,0,0,0.03
2010,2,49,36.76,-12.83,,,,,49,21.1178,36.5255,221.4,4.6161,0.042,0.39,0,0,0.01
2010,2,102,36.76,-12.83,,,,,103,16.0502,36.1522,234.6,4.61,0.179,0.88,1.04,0.13,0.13
2010,2,102,36.76,-12.83,,,,,103,16.0502,36.1522,234.6,4.61,0.179,0.78,1.1,0.13,0.13
2010,2,141,36.76,-12.83,,,,,142,15.1064,36.0795,217.3,4.6357,0.054,1.95,5.55,0.01,0.37
2010,2,141,36.76,-12.83,,,,,142,15.1064,36.0795,217.3,4.6357,0.054,1.85,5.51,0.01,0.37
2010,2,201,36.76,-12.83,,,,,202,14.3479,36.014,218.7,4.6469,0.01,2.54,7.46,0,0.48
2010,2,201,36.76,-12.83,,,,,202,14.3479,36.014,218.7,4.6469,0.01,2.54,7.44,0.01,0.49
2010,2,251,36.76,-12.83,,,,,253,13.5029,35.8633,212.4,4.6535,0.003,3.41,9.31,0,0.59
2010,2,251,36.76,-12.83,,,,,253,13.5029,35.8633,212.4,4.6535,0.003,3.32,9.31,0,0.59
2010,2,359,36.76,-12.83,,,,,362,12.7819,35.7791,220.7,4.6557,0.003,3.41,9.88,0,0.63
2010,2,359,36.76,-12.83,,,,,362,12.7819,35.7791,220.7,4.6557,0.003,3.41,9.88,0,0.63
2010,2,501,36.76,-12.83,,,,,505,11.6496,35.6234,198.6,4.6606,0.003,5.56,13.81,0,0.87
2010,2,501,36.76,-12.83,,,,,505,11.6496,35.6234,198.6,4.6606,0.003,5.46,13.76,0,0.87
2010,2,662,36.76,-12.83,,,,,668,11.1097,35.712,179,4.6629,0.003,8,16.31,0,1.03
