Year,STNNBR,LATITUDE,LONGITUDE,CTDDEPTH,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
2011,1,39.70,-69.80,600,12.12,2,19.15,2,0.00,2,2.14,4
2011,1,39.70,-69.80,600,12.02,2,19.12,2,0.00,2,1.72,4
2011,1,39.70,-69.80,666,11.43,2,18.30,2,0.00,2,1.39,2
2011,1,39.70,-69.80,666,11.43,2,18.27,2,0.00,2,1.32,2
2011,1,39.70,-69.80,826,10.65,2,17.38,2,0.00,2,1.16,2
2011,1,39.70,-69.80,826,10.55,2,17.38,2,0.00,2,1.11,2
2011,1,39.70,-69.80,966,11.04,2,17.45,2,0.00,2,1.13,2
2011,1,39.70,-69.80,966,10.94,2,17.44,2,0.00,2,1.17,2
2011,1,39.70,-69.80,1076,11.53,2,17.73,2,0.00,2,1.19,2
2011,1,39.70,-69.80,1076,11.43,2,17.70,2,0.00,2,1.16,2
2011,1,39.70,-69.80,1201,11.63,2,17.64,2,0.00,2,1.14,2
2011,1,39.70,-69.80,1201,11.73,2,17.66,2,0.00,2,1.14,2
2011,1,39.70,-69.80,1351,11.63,2,17.40,2,0.00,2,1.12,2
2011,1,39.70,-69.80,1351,11.73,2,17.47,2,0.00,2,1.10,2
2011,1,39.70,-69.80,1501,12.22,2,17.33,2,0.00,2,1.11,2
2011,1,39.70,-69.80,1501,12.22,2,17.32,2,0.00,2,1.11,2
2011,1,39.70,-69.80,1652,12.41,2,17.36,2,0.00,2,1.12,2
2011,1,39.70,-69.80,1652,12.51,2,17.34,2,0.00,2,1.12,2
2011,1,39.70,-69.80,1800,12.90,2,17.37,2,0.00,2,1.12,2
2011,1,39.70,-69.80,1800,12.61,2,17.37,2,0.00,2,1.12,2
2011,1,39.70,-69.80,2001,13.49,2,17.37,2,0.00,2,1.13,2
2011,1,39.70,-69.80,2001,13.49,2,17.36,2,0.00,2,1.12,2
2011,1,39.70,-69.80,2050,13.97,2,17.35,2,0.00,2,1.13,2
2011,1,39.70,-69.80,2050,13.68,2,17.44,2,0.01,2,1.14,2
2011,1,39.69,-69.81,30,0.68,2,0.69,2,0.10,2,0.06,2
2011,1,39.69,-69.81,30,0.88,2,0.58,2,0.10,2,0.07,2
2011,1,39.69,-69.81,59,1.37,2,2.00,2,0.12,2,0.15,2
2011,1,39.69,-69.81,59,1.47,2,2.02,2,0.13,2,0.17,2
2011,1,39.69,-69.81,91,4.30,2,11.49,2,0.01,2,0.67,2
2011,1,39.69,-69.81,91,4.49,2,11.57,2,0.01,2,0.68,2
2011,1,39.69,-69.81,111,5.76,2,14.93,2,0.00,2,0.90,2
2011,1,39.69,-69.81,111,5.76,2,14.93,2,0.00,2,0.90,2
2011,1,39.69,-69.81,135,6.54,2,16.03,2,0.00,2,1.01,2
2011,1,39.69,-69.81,135,6.54,2,15.99,2,0.00,2,1.00,2
2011,1,39.69,-69.81,186,11.04,2,21.86,2,0.00,2,1.39,2
2011,1,39.69,-69.81,186,11.04,2,21.75,2,0.00,2,1.39,2
2011,1,39.69,-69.81,236,10.75,2,21.31,2,0.00,2,1.36,2
2011,1,39.69,-69.81,236,10.65,2,21.42,2,0.00,2,1.33,2
2011,1,39.69,-69.81,286,13.58,2,24.05,2,0.00,2,1.52,2
2011,1,39.69,-69.81,286,13.58,2,24.01,2,0.00,2,1.52,2
2011,1,39.69,-69.81,326,14.36,2,24.43,2,0.00,2,1.56,2
2011,1,39.69,-69.81,326,14.36,2,24.49,2,0.00,2,1.56,2
2011,1,39.69,-69.81,421,13.88,2,22.43,2,0.00,2,1.47,2
2011,1,39.69,-69.81,421,13.97,2,22.42,2,0.00,2,1.47,2
2011,1,39.69,-69.81,476,13.48,2,21.40,2,0.00,2,1.41,2
2011,1,39.69,-69.81,476,13.48,2,21.34,2,0.00,2,1.39,2
2011,1,39.69,-69.81,526,13.00,2,20.40,2,0.00,2,1.33,2
2011,1,39.69,-69.81,526,13.09,2,20.55,2,0.00,2,1.34,2
2011,2,39.35,-69.54,601,11.90,2,18.77,2,0.00,2,1.23,2
2011,2,39.35,-69.54,601,11.91,2,18.67,2,0.00,2,1.22,2
2011,2,39.35,-69.54,666,11.61,2,18.40,2,0.00,2,1.22,2
2011,2,39.35,-69.54,666,11.71,2,18.39,2,0.00,2,1.22,2
2011,2,39.35,-69.54,826,11.32,2,17.92,2,0.00,2,1.18,2
2011,2,39.35,-69.54,826,11.42,2,17.83,2,0.00,2,1.19,2
2011,2,39.35,-69.54,965,11.32,2,17.61,2,0.00,2,1.16,2
2011,2,39.35,-69.54,965,11.32,2,17.60,2,0.00,2,1.17,2
2011,2,39.35,-69.54,1201,11.81,2,17.50,2,0.00,2,1.16,2
2011,2,39.35,-69.54,1201,11.81,2,17.57,2,0.00,2,1.17,2
2011,2,39.35,-69.54,1351,12.10,2,17.44,2,0.00,2,1.17,2
2011,2,39.35,-69.54,1351,12.00,2,17.47,2,0.00,2,1.17,2
2011,2,39.35,-69.54,1501,12.59,2,17.46,2,0.00,2,1.17,2
2011,2,39.35,-69.54,1501,12.69,2,17.48,2,0.00,2,1.17,2
2011,2,39.35,-69.54,1650,13.37,2,17.47,2,0.00,2,1.18,2
2011,2,39.35,-69.54,1650,13.47,2,17.48,2,0.00,2,1.18,2
2011,2,39.35,-69.54,1800,14.15,2,17.49,2,0.00,2,1.19,2
2011,2,39.35,-69.54,1800,14.15,2,17.54,2,0.00,2,1.18,2
2011,2,39.35,-69.54,2001,15.52,2,17.54,2,0.00,2,1.18,2
2011,2,39.35,-69.54,2001,15.52,2,17.54,2,0.00,2,1.19,2
2011,2,39.35,-69.54,2200,16.59,2,17.56,2,0.00,2,1.20,2
2011,2,39.35,-69.54,2200,16.49,2,17.57,2,0.00,2,1.19,2
2011,2,39.35,-69.54,2461,16.98,2,17.06,2,0.00,2,1.17,2
2011,2,39.35,-69.54,2461,17.08,2,17.09,2,0.00,2,1.17,2
2011,2,39.35,-69.54,35,0.98,2,0.26,2,0.06,2,0.04,2
2011,2,39.35,-69.54,35,0.98,2,0.32,2,0.06,2,0.03,2
2011,2,39.35,-69.54,47,2.05,2,3.41,2,0.15,2,0.22,2
2011,2,39.35,-69.54,47,2.05,2,3.49,2,0.14,2,0.22,2
2011,2,39.35,-69.54,70,4.19,2,11.14,2,0.02,2,0.61,2
2011,2,39.35,-69.54,70,4.19,2,10.90,2,0.02,2,0.61,2
2011,2,39.35,-69.54,102,6.05,2,15.13,2,0.00,2,0.89,2
2011,2,39.35,-69.54,102,6.14,2,15.16,2,0.00,2,0.90,2
2011,2,39.35,-69.54,137,8.10,2,18.39,2,0.00,2,1.10,2
2011,2,39.35,-69.54,137,8.10,2,18.42,2,0.00,2,1.10,2
2011,2,39.35,-69.54,186,10.83,2,21.87,2,0.00,2,1.34,2
2011,2,39.35,-69.54,186,10.63,2,21.76,2,0.00,2,1.35,2
2011,2,39.35,-69.54,238,12.49,2,23.59,2,0.00,2,1.48,2
2011,2,39.35,-69.54,238,12.59,2,23.64,2,0.00,2,1.49,2
2011,2,39.35,-69.54,287,14.15,2,24.77,2,0.00,2,1.58,2
2011,2,39.35,-69.54,287,14.34,2,24.77,2,0.00,2,1.58,2
2011,2,39.35,-69.54,327,14.73,2,23.92,2,0.00,2,1.55,2
2011,2,39.35,-69.54,327,14.44,2,23.95,2,0.00,2,1.56,2
2011,2,39.35,-69.54,422,12.98,2,20.73,2,0.00,2,1.37,2
2011,2,39.35,-69.54,422,13.17,2,20.83,2,0.00,2,1.39,2
2011,2,39.35,-69.54,476,12.39,2,19.76,2,0.00,2,1.31,2
2011,2,39.35,-69.54,476,12.78,2,19.75,2,0.00,2,1.31,2
2011,2,39.35,-69.54,526,12.20,2,19.25,2,0.00,2,1.28,2
2011,2,39.35,-69.54,526,12.20,2,19.24,2,0.00,2,1.28,2
2011,3,38.69,-69.09,28,0.68,2,0.00,2,0.00,2,0.02,2
2011,3,38.69,-69.09,28,0.59,2,0.00,2,0.00,2,0.02,2
2011,3,38.69,-69.09,61,0.58,2,0.08,2,0.01,2,0.01,2
2011,3,38.69,-69.09,61,0.49,2,0.09,2,0.01,2,0.00,2
2011,3,38.69,-69.09,83,0.29,2,0.13,2,0.03,2,0.01,2
2011,3,38.69,-69.09,83,0.29,2,0.12,2,0.03,2,0.00,2
2011,3,38.69,-69.09,112,1.07,2,4.87,2,0.00,2,0.23,2
2011,3,38.69,-69.09,112,0.97,2,4.82,2,0.00,2,0.23,2
2011,3,38.69,-69.09,137,0.88,2,5.57,2,0.00,2,0.27,2
2011,3,38.69,-69.09,137,1.17,2,5.57,2,0.00,2,0.27,2
2011,3,38.69,-69.09,187,0.58,2,2.91,2,0.00,2,0.12,2
2011,3,38.69,-69.09,187,0.49,2,2.93,2,0.00,2,0.13,2
2011,3,38.69,-69.09,237,0.68,2,3.51,2,0.00,2,0.17,2
2011,3,38.69,-69.09,237,0.68,2,3.52,2,0.00,2,0.16,2
2011,3,38.69,-69.09,288,0.78,2,4.13,2,0.00,2,0.19,2
2011,3,38.69,-69.09,288,0.78,2,4.13,2,0.00,2,0.19,2
