Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2010,3,490,35.2,-16,0.04,0.32,110,0.24,494,11.93175,35.6392,190.05,4.66055,0.003,5.36,13.72,0,0.86,0.003494251,6,0.524137706,2,2.186748,1,1
2010,3,611,35.2,-16,,0.37,150,,616,11.06165,35.586,181.65,4.6636,0.004,7.12,15.91,0,0.99,0.00404438,2,0.566213247,2,1.64507,1,1
2010,3,611,35.2,-16,,0.37,150,,616,11.06165,35.586,181.65,4.6636,0.004,7.22,15.91,0,0.99,0.00404438,2,0.566213247,2,1.64507,1,1
2010,3,777,35.2,-16,1.74,0.39,215,,784,10.6057,35.7243,177.95,4.6661,0.0035,9.17,17.02,0,1.08,0.003338597,2,0.767877353,2,1.303931,1,1
2010,3,777,35.2,-16,1.74,0.39,215,,784,10.6057,35.7243,177.95,4.6661,0.0035,9.07,16.98,0,1.07,0.003338597,2,0.767877353,2,1.303931,1,1
2010,3,1501,35.2,-16,0.08,,61,,1518,6.8528,35.5033,217.4,4.6727,0.004,13.56,17.37,0,1.14,,2,,2,,1,1
2010,3,1501,35.2,-16,0.08,,61,,1518,6.8528,35.5033,217.4,4.6727,0.004,13.56,17.34,0,1.14,,2,,2,,1,1
2010,3,2101,35.2,-16,0.65,,51,,2127,4.1114,35.0963,244.3,4.6764,0.004,20.98,18.59,0,1.26,0.004376262,6,0.328219671,2,0.851164,1,4
2010,3,2101,35.2,-16,0.65,,51,,2127,4.1114,35.0963,244.3,4.6764,0.004,20.98,18.59,0,1.25,0.004376262,6,0.328219671,2,0.851164,1,4
2010,5,31,31,-22,1.18,0.12,32,,31,24.31545,37.235,212.15,4.6149,0.015,0.39,0,0,0,,2,,4,,1,1
2010,5,31,31,-22,1.18,0.12,32,,31,24.31545,37.235,212.15,4.6149,0.015,0.49,0,0,0,,2,,4,,1,1
2010,5,81,31,-22,0.39,0.1,23,,81.66666667,19.37656667,36.65813333,218.4,4.617133333,0.062,0.58,0,0,0,,4,0.00645392,2,9.901022,1,1
2010,5,81,31,-22,0.39,0.1,23,,81.66666667,19.37656667,36.65813333,218.4,4.617133333,0.062,0.58,0,0,0,,4,0.00645392,2,9.901022,1,1
2010,5,136,31,-22,0.55,0.15,35,,137,17.94685,36.5444,203.15,4.63325,0.072,1.27,2.77,0.02,0.15,,2,,2,,1,1
2010,5,136,31,-22,0.55,0.15,35,,137,17.94685,36.5444,203.15,4.63325,0.072,1.17,2.74,0.02,0.15,,2,,2,,1,1
2010,5,187,31,-22,0.61,0.23,29,,188,17.39755,36.46635,199.95,4.6475,0.0125,1.46,3.78,0.01,0.2,0.003813805,2,0.01525522,2,3.588205,1,1
2010,5,187,31,-22,0.61,0.23,29,,188,17.39755,36.46635,199.95,4.6475,0.0125,1.46,3.78,0.01,0.2,0.003813805,2,0.01525522,2,3.588205,1,1
2010,5,251,31,-22,0.62,0.2,30,,253,16.49925,36.3137,197.95,4.6509,0.0035,2.24,5.68,0.01,0.33,0.003048889,2,0.053863705,2,2.840159,1,1
2010,5,251,31,-22,0.62,0.2,30,,253,16.49925,36.3137,197.95,4.6509,0.0035,2.14,5.66,0.01,0.36,0.003048889,2,0.053863705,2,2.840159,1,1
2010,5,553,31,-22,0.71,0.24,73,,558,12.38645,35.678,188.75,4.6606,0.003,5.66,13.06,0,0.81,0.00289287,2,0.170679318,2,1.899575,1,1
2010,5,553,31,-22,0.71,0.24,73,,558,12.38645,35.678,188.75,4.6606,0.003,5.56,12.97,0,0.81,0.00289287,2,0.170679318,2,1.899575,1,1
2010,5,963,31,-22,0.87,0.39,139,,972,9.11395,35.51805,171.05,4.66915,0.004,12.97,20.22,0,1.31,0.008062804,2,0.258009724,2,0.803929,1,4
2010,5,963,31,-22,0.87,0.39,139,,972,9.11395,35.51805,171.05,4.66915,0.004,12.97,20.15,0,1.32,0.008062804,2,0.258009724,2,0.803929,1,4
2010,5,1501,31.01,-22,0.78,0.37,50,,1517,6.5513,35.3975,211.7,4.675,0.004,15.22,18.47,0,1.24,,4,,4,,1,1
2010,5,1501,31.01,-22,0.78,0.37,50,,1517,6.5513,35.3975,211.7,4.675,0.004,14.93,18.54,0,1.24,,4,,4,,1,1
2010,5,2100,31.01,-22,0.79,0.34,56,,2126,4.1307,35.0862,242.7,4.6789,0.004,20.1,18.6,0,1.28,,2,,2,,1,1
2010,5,2100,31.01,-22,0.79,0.34,56,,2126,4.1307,35.0862,242.7,4.6789,0.004,20.1,18.62,0,1.28,,2,,2,,1,1
2010,5,3001,31.01,-22,0.93,0.4,,,3045,2.7907,34.9413,246,4.6812,0.004,34.64,20.36,0,1.42,0.003602825,2,,4,0.565511,8,1
2010,5,3001,31.01,-22,0.93,0.4,,,3045,2.7907,34.9413,246,4.6812,0.004,34.64,20.38,0,1.42,0.003602825,2,,4,0.565511,8,1
2010,5,3600,31.01,-22,0.88,0.35,20,205,3658,2.5285,34.9115,244.7,4.6813,0.004,41.67,21.26,0,1.48,,2,,4,,1,1
2010,5,3600,31.01,-22,0.88,0.35,20,205,3658,2.5285,34.9115,244.7,4.6813,0.004,41.67,21.22,0,1.49,,2,,4,,1,1
2010,5,4899,31.01,-22,,0.37,24,,4993,2.4378,34.886,244.5,4.6787,0.004,46.75,21.54,0,1.51,0.002272479,2,0.211340581,2,0.711231,8,1
2010,5,4899,31.01,-22,,0.37,24,,4993,2.4378,34.886,244.5,4.6787,0.004,47.92,21.56,0,1.51,0.002272479,2,0.211340581,2,0.711231,8,1
2010,6,41,27.52,-22,0.5,0.07,24,,41,24.3568,37.2725,209.6,4.6026,0.018,0.49,0,0,0.02,0.00149393,2,,2,16.3285,1,1
2010,6,41,27.52,-22,0.5,0.07,24,,41,24.3568,37.2725,209.6,4.6026,0.018,0.29,0.01,0,0.02,0.00149393,2,,2,16.3285,1,1
2010,6,91,27.52,-22,0.29,0.09,30,,92,20.3333,36.8778,229.1,4.61,0.071,0.39,0,0,0.01,,2,,2,,1,1
2010,6,91,27.52,-22,0.29,0.09,30,,92,20.3333,36.8778,229.1,4.61,0.071,0.39,0,0,0.05,,2,,2,,1,1
2010,6,135,27.52,-22,0.23,0.1,30,,136,18.4804,36.6429,213.1,4.6272,0.082,0.68,0.53,0.03,0.03,,4,,2,1.796,1,1
2010,6,135,27.52,-22,0.23,0.1,30,,136,18.4804,36.6429,213.1,4.6272,0.082,0.68,0.52,0.03,0.03,,4,,2,1.796,1,1
2010,6,1003,27.52,-22,0.71,0.35,,,1013,8.1803,35.3717,160.1,4.6692,0.004,15.51,22.84,0,1.5,0.003967585,2,0.105140998,2,1.3175,1,1
2010,6,1003,27.52,-22,0.71,0.35,,,1013,8.1803,35.3717,160.1,4.6692,0.004,15.51,22.85,0,1.5,0.003967585,2,0.105140998,2,1.3175,1,1
2010,7,35,24,-22,0.47,0.05,20,,35,25.5905,36.7807,207.55,4.5981,0.0435,0.58,0,0,0.09,0.00181918,2,0.016372621,2,14.21381,1,1
2010,7,35,24,-22,0.47,0.05,20,,35,25.5905,36.7807,207.55,4.5981,0.0435,0.49,0,0,0.09,0.00181918,2,0.016372621,2,14.21381,1,1
2010,7,71,24,-22,0.26,0.07,23,,71,22.21075,36.8736,200.55,4.58865,0.216,0.78,0.19,0.05,0.1,,4,,4,,1,1
2010,7,71,24,-22,0.26,0.07,23,,71,22.21075,36.8736,200.55,4.58865,0.216,0.78,0.19,0.05,0.1,,4,,4,,1,1
2010,7,151,24,-22,0.41,0.18,36,,152,17.2526,36.24815,104.8,4.6384,0.0095,4.78,15.37,0.02,0.96,,4,,4,,1,1
2010,7,151,24,-22,0.41,0.18,36,,152,17.2526,36.24815,104.8,4.6384,0.0095,4.68,15.32,0.01,0.96,,4,,4,,1,1
2010,7,201,24,-22,0.44,0.21,42,,202,16.46075,36.218,118.4,4.6406,0.006,5.07,15.15,0.01,0.93,,2,,2,,1,1
2010,7,201,24,-22,0.44,0.21,42,,202,16.46075,36.218,118.4,4.6406,0.006,4.97,15.15,0.01,0.94,,2,,2,,1,1
2010,7,351,24,-22,0.55,0.25,48,,354,14.20805,35.91235,133.2,4.65095,0.0045,5.75,16.33,0.01,0.98,0.002392615,2,0.181838773,2,3.094478,1,1
2010,7,351,24,-22,0.55,0.25,48,,354,14.20805,35.91235,133.2,4.65095,0.0045,5.66,16.31,0.01,0.98,0.002392615,2,0.181838773,2,3.094478,1,1
2010,7,398,24,-22,0.46,0.28,,,401,13.67705,35.8521,146.9,4.6524,0.0045,5.85,15.95,0.01,0.97,,2,,4,3.069387,1,1
