STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,CTDPRS,CTDDEPTH,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
1,60.1727,-178.9907,10545,251.5,249,3.8635,33.5075,2,33.5073,2,144.2,1,77.76,2,36.09,2,0.02,2,2.64,2
1,60.1727,-178.9907,10544,352.3,349,3.8816,33.708,2,33.7062,2,95.5,1,90.16,2,39.49,2,0.03,2,2.85,2
1,60.1727,-178.9907,10543,352.3,349,3.8816,33.708,2,33.7105,2,95.5,1,90.35,2,39.61,2,0.03,2,2.85,2
1,60.1727,-178.9907,10542,453.6,449,3.7834,33.8622,2,33.8627,2,61.1,1,101.38,2,42.15,2,0.03,2,3.02,2
1,60.1727,-178.9907,10541,453.6,449,3.7834,33.8622,2,33.8646,2,61.1,1,101.38,2,42.13,2,0.03,2,3.02,2
2,62.1892,-171.5755,-999,16.8,17,6.7606,31.2639,2,-999,9,299.4,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,16.8,17,6.7606,31.2639,2,-999,9,264.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,17.4,17,6.3712,31.2664,2,-999,9,309.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,17.4,17,6.3712,31.2664,2,-999,9,309.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,18.3,18,5.8124,31.2548,2,-999,9,319.8,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,18.3,18,5.8124,31.2548,2,-999,9,319.8,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,10557,19,19,5.3656,31.243,2,31.3021,2,331.9,1,5.09,2,0,2,0,2,0.57,2
2,62.1892,-171.5755,10556,19,19,5.3656,31.243,2,31.3582,4,331.9,1,9.4,2,0.69,2,0.05,2,0.71,2
2,62.1892,-171.5755,-999,23.6,23,3.1622,31.3885,2,-999,9,332.7,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,23.6,23,3.1622,31.3885,2,-999,9,332.7,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,31.8,32,0.163,31.5779,2,-999,9,265.5,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,31.8,32,0.163,31.5779,2,-999,9,265.5,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,32.7,32,0.1674,31.5816,2,-999,9,265.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,32.7,32,0.1674,31.5816,2,-999,9,265.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,10555,33.5,33,0.1898,31.5903,2,31.5907,2,265.8,1,29.18,2,4.59,2,0.2,2,1.46,2
2,62.1892,-171.5755,10554,33.5,33,0.1898,31.5903,2,31.5947,2,265.8,1,28.88,2,4.59,2,0.2,2,1.46,2
2,62.1892,-171.5755,-999,43.2,43,0.3334,31.6326,2,-999,9,264.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,43.2,43,0.3334,31.6326,2,-999,9,264.6,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,43.6,43,0.3349,31.6328,2,-999,9,265.2,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,43.6,43,0.3349,31.6328,2,-999,9,265.2,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,44,44,0.3352,31.633,2,-999,9,264.4,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,-999,44,44,0.3352,31.633,2,-999,9,264.4,1,-999,9,-999,9,-999,9,-999,9
2,62.1892,-171.5755,10553,44.4,44,0.3372,31.6333,2,31.63,2,264.1,1,28.39,2,4.51,2,0.2,2,1.48,2
2,62.1892,-171.5755,10552,44.4,44,0.3372,31.6333,2,31.621,2,264.1,1,28.49,2,4.52,2,0.2,2,1.46,2
3,64.004,-166.6097,-999,17.7,18,8.3221,31.774,2,-999,9,298.9,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,17.7,18,8.3221,31.774,2,-999,9,298.9,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,18.1,18,8.3028,31.775,2,-999,9,297.8,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,18.1,18,8.3028,31.775,2,-999,9,297.8,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,18.6,18,8.0533,31.7695,2,-999,9,297.3,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,18.6,18,8.0533,31.7695,2,-999,9,297.3,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,10584,18.7,19,7.6613,31.7541,2,31.7107,2,289.8,1,10.47,2,0.05,2,0.02,2,0.58,2
3,64.004,-166.6097,10583,18.7,19,7.6613,31.7541,2,31.6721,4,297.2,1,11.65,2,0.08,2,0.03,2,0.65,2
3,64.004,-166.6097,-999,21.6,21,5.1741,31.6393,2,-999,9,289.8,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,21.6,21,5.1741,31.6393,2,-999,9,289.8,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,21.7,22,5.167,31.6427,2,-999,9,289.1,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,21.7,22,5.167,31.6427,2,-999,9,289.1,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,21.9,22,5.1611,31.646,2,-999,9,288.4,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,21.9,22,5.1611,31.646,2,-999,9,288.4,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,10582,22.2,22,5.1568,31.6513,2,31.6725,2,286.7,1,14.29,2,0.21,2,0.06,2,0.76,2
3,64.004,-166.6097,10581,22.2,22,5.1568,31.6513,2,31.695,4,286.7,1,14.39,2,0.21,2,0.06,2,0.78,2
3,64.004,-166.6097,-999,25.7,25,5.0566,31.7116,2,-999,9,293,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,25.7,25,5.0566,31.7116,2,-999,9,293,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,25.8,26,5.0598,31.71,2,-999,9,292.7,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,25.8,26,5.0598,31.71,2,-999,9,292.7,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,26,26,5.0553,31.7116,2,-999,9,292.7,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,-999,26,26,5.0553,31.7116,2,-999,9,292.7,1,-999,9,-999,9,-999,9,-999,9
3,64.004,-166.6097,10580,26.2,26,5.0493,31.714,2,31.7164,2,292.6,1,13.41,2,0.18,2,0.05,2,0.72,2
3,64.004,-166.6097,10579,26.2,26,5.0493,31.714,2,31.7104,2,292.6,1,14.39,2,0.2,2,0.06,2,0.8,2
4,65.8023,-168.6021,-999,14.4,14,5.9529,32.2568,2,-999,9,298,1,-999,9,-999,9,-999,9,-999,9
