Start_Latitude,Start_Longitude,Station_ID,Sample_Depth,POC_umolC_kg
60.22388333,-179.04895,1,19,4.392431064
60.22388333,-179.04895,1,41,1.875063452
60.22388333,-179.04895,1,123,0.646252345
60.22388333,-179.04895,1,274,0.600282124
60.22388333,-179.04895,1,395,0.321611013
60.22388333,-179.04895,1,491,0.262578096
62.20233333,-171.5846667,2,19,1.902177231
64.01088333,-166.6455,3,9,1.861684909
64.01088333,-166.6455,3,26,7.873020099
68.09,-168.1055333,6,15,26.32087799
68.09,-168.1055333,6,30,11.50224148
68.09,-168.1055333,6,46,12.37495047
74.99216667,-170.1111667,10,44,1.838843524
74.99216667,-170.1111667,10,81,0.549226499
74.99216667,-170.1111667,10,121,0.353826836
74.99216667,-170.1111667,10,196,0.407086002
74.99216667,-170.1111667,10,213,0.548216388
74.99216667,-170.1111667,10,258,1.161840645
76.53686667,-173.0967167,14,20,0.782129701
76.53686667,-173.0967167,14,155,0.33231823
76.53686667,-173.0967167,14,176,0.27111231
76.53686667,-173.0967167,14,212,0.215707664
76.53686667,-173.0967167,14,283,0.160675279
76.53686667,-173.0967167,14,493,0.073029954
76.56666667,-173.16605,14,48,0.962696965
76.56666667,-173.16605,14,1368,0.064315375
76.56666667,-173.16605,14,1725,0.029324785
76.56666667,-173.16605,14,2194,0.063333914
79.98643333,-174.9757167,19,26,0.92259005
79.98643333,-174.9757167,19,49,1.440430023
79.98643333,-174.9757167,19,77,0.553993882
79.98643333,-174.9757167,19,102,0.381348972
79.98643333,-174.9757167,19,153,0.356527798
79.98643333,-174.9757167,19,174,0.396149864
79.98643333,-174.9757167,19,256,0.183200168
79.98643333,-174.9757167,19,409,0.101435856
79.97533333,-175.0126667,19,505,0.092231937
79.97533333,-175.0126667,19,709,0.078930012
79.97533333,-175.0126667,19,1016,0.061663225
79.97533333,-175.0126667,19,1262,0.055133142
79.97533333,-175.0126667,19,1702,0.032898897
79.97533333,-175.0126667,19,1969,0.030769408
83.75478333,174.8173,26,25,0.776926081
83.75478333,174.8173,26,55,0.809776948
83.75478333,174.8173,26,73,0.397201133
83.75478333,174.8173,26,100,0.235361913
83.75478333,174.8173,26,147,0.218206692
83.75478333,174.8173,26,210,0.139624158
83.75478333,174.8173,26,367,0.121745746
83.75478333,174.8173,26,524,0.064717475
83.71333333,174.21085,26,745,0.075025496
83.71333333,174.21085,26,1242,0.053816093
83.71333333,174.21085,26,1803,0.041450794
83.71333333,174.21085,26,2235,0.028161219
83.71333333,174.21085,26,2523,0.033890419
83.71333333,174.21085,26,2901,0.037856817
87.53011667,-179.99975,30,24,0.643118771
87.53011667,-179.99975,30,41,0.515811264
87.53011667,-179.99975,30,57,0.389160095
87.53011667,-179.99975,30,73,0.284826609
87.53011667,-179.99975,30,102,0.262332502
87.53011667,-179.99975,30,127,0.169299541
87.53011667,-179.99975,30,178,0.181281739
87.53011667,-179.99975,30,229,0.190557214
87.5856,178.9268333,30,226,0.184593636
87.5856,178.9268333,30,261,0.163847712
87.5856,178.9268333,30,376,0.131753178
87.5856,178.9268333,30,802,0.0740489
87.5856,178.9268333,30,1002,0.053946978
87.5856,178.9268333,30,1403,0.033109442
87.5856,178.9268333,30,1905,0.029956147
87.67313333,-179.5206333,30,1891,0.028898661
87.67313333,-179.5206333,30,2389,0.022639327
87.67313333,-179.5206333,30,2886,0.011560581
87.67313333,-179.5206333,30,3384,0.017070775
87.67313333,-179.5206333,30,3778,0.017154915
87.67313333,-179.5206333,30,3852,0.017370216
87.67313333,-179.5206333,30,3902,0.010356234
89.98881667,37.84281667,32,20,0.690646225
89.98881667,37.84281667,32,60,0.298606598
