Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
14	204	76.5	-172.97	0.14	1.3		0.05	4.4428	0.017	206.1	-1.3951	33.2352	249.8	37.56	16.2	0	1.92
14	204	76.5	-172.97	0.14	1.3		0.05	4.4428	0.017	206.1	-1.3951	33.2352	249.8	34.23	15.68	0	1.78
14	204	76.5	-172.97	0.14	1.3		0.05	4.4445	0.017	206.1	-1.3951	33.2352	249.8	37.56	16.2	0	1.92
14	204	76.5	-172.97	0.14	1.3		0.05	4.4445	0.017	206.1	-1.3951	33.2352	249.8	34.23	15.68	0	1.78
14	225	76.5	-172.97	0.25	1.45		0.049	4.4497	0.017	227.5	-1.2695	33.5626	258	27.19	14.56	0	1.52
14	225	76.5	-172.97	0.25	1.45		0.049	4.4497	0.017	227.5	-1.2695	33.5626	258	28.65	14.77	0	1.58
14	225	76.5	-172.97	0.25	1.45		0.049	4.447	0.016	227.5	-1.2695	33.5626	258	27.19	14.56	0	1.52
14	225	76.5	-172.97	0.25	1.45		0.049	4.447	0.016	227.5	-1.2695	33.5626	258	28.65	14.77	0	1.58
14	274	76.5	-172.97	0.37	1.22		0.012	4.4522	0.014	277	-0.1681	34.4782	251.1	15.05	12.76	0	1.02
14	274	76.5	-172.97	0.37	1.22		0.012	4.4522	0.014	277	-0.1681	34.4782	251.1	14.56	12.72	0	1.02
14	274	76.5	-172.97	0.37	1.22		0.012	4.4514	0.013	277	-0.1681	34.4782	251.1	15.05	12.76	0	1.02
14	274	76.5	-172.97	0.37	1.22		0.012	4.4514	0.013	277	-0.1681	34.4782	251.1	14.56	12.72	0	1.02
14	374	76.5	-172.97	0.32	0.5		0.038	4.4553	0.011	378.1	0.7756	34.8003	279.7	6.45	12.27	0	0.86
14	374	76.5	-172.97	0.32	0.5		0.038	4.4553	0.011	378.1	0.7756	34.8003	279.7	6.35	12.27	0	0.86
14	374	76.5	-172.97	0.32	0.5		0.038	4.4549	0.011	378.1	0.7756	34.8003	279.7	6.45	12.27	0	0.86
14	374	76.5	-172.97	0.32	0.5		0.038	4.4549	0.011	378.1	0.7756	34.8003	279.7	6.35	12.27	0	0.86
14	477	76.5	-172.97	0.38	0.98		0.01	4.4553	0.01	482.9	0.926	34.8458	285	6.15	12.33	0	0.86
14	477	76.5	-172.97	0.38	0.98		0.01	4.4553	0.01	482.9	0.926	34.8458	285	6.15	12.33	0	0.85
14	477	76.5	-172.97	0.38	0.98		0.01	4.4555	0.01	482.9	0.926	34.8458	285	6.15	12.33	0	0.86
14	477	76.5	-172.97	0.38	0.98		0.01	4.4555	0.01	482.9	0.926	34.8458	285	6.15	12.33	0	0.85
14	479	76.5	-172.97	0.2	0.45		0.007	4.4554	0.011	484.4	0.9351	34.8468	284.5	6.06	12.27	0	0.83
14	479	76.5	-172.97	0.2	0.45		0.007	4.4554	0.011	484.4	0.9351	34.8468	284.5	5.96	12.28	0	0.82
14	479	76.5	-172.97	0.2	0.45		0.007	4.4554	0.01	484.4	0.9351	34.8468	284.5	6.06	12.27	0	0.83
14	479	76.5	-172.97	0.2	0.45		0.007	4.4554	0.01	484.4	0.9351	34.8468	284.5	5.96	12.28	0	0.82
14	599	76.5	-172.97	0.09	0.52		0.009	4.4567	0.01	606	0.6619	34.859	288	5.96	12.25	0	0.82
14	599	76.5	-172.97	0.09	0.52		0.009	4.4567	0.01	606	0.6619	34.859	288	5.96	12.25	0	0.84
14	599	76.5	-172.97	0.09	0.52		0.009	4.457	0.01	606	0.6619	34.859	288	5.96	12.25	0	0.82
14	599	76.5	-172.97	0.09	0.52		0.009	4.457	0.01	606	0.6619	34.859	288	5.96	12.25	0	0.84
