Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
3,2493,2526.20,0,2.55,1,34.84,1,213.95,1,,9.00,,9,,9,9,0.00
3,2742,2780.60,0,2.45,1,34.84,1,203.07,1,1.73,1.00,53.94,1,0.01,6,1,25.48
3,2991,3035.00,0,2.34,1,34.84,1,220.29,1,1.75,1.00,58.42,1,0.01,1,1,26.37
3,2994,3037.40,0,2.33,1,34.84,1,204.28,1,1.73,1.00,56.46,1,0.01,6,1,25.42
3,2995,3039.10,0,2.34,1,34.84,1,220.19,1,,9.00,,9,,9,9,0.00
3,3492,3546.80,0,2.07,1,34.83,1,204.18,1,1.78,1.00,64.29,1,0.01,6,1,25.93
3,3493,3548.30,0,2.08,1,34.83,1,220.32,1,1.80,1.00,66.84,1,0.01,1,1,26.80
3,3991,4059.20,0,1.41,1,34.76,1,197.43,1,2.04,1.00,88.75,1,0.01,6,1,28.95
3,3993,4060.90,0,1.44,1,34.77,1,216.49,1,2.04,1.00,91.67,1,0.01,1,1,29.88
3,3994,4061.60,0,1.45,1,34.77,1,216.52,1,,9.00,,9,,9,9,0.00
3,4489,4570.50,0,1.15,1,34.74,1,196.22,1,,9.00,33.58,3,0.01,3,3,25.68
3,4494,4576.10,0,1.16,1,34.74,1,217.66,1,2.16,1.00,103.71,1,0.01,1,1,31.29
3,4787,4877.60,0,1.09,1,34.73,1,196.24,1,2.17,1.00,101.79,1,0.01,6,1,30.32
3,4852,4944.40,0,1.07,1,34.73,1,196.61,1,2.20,1.00,102.68,1,0.01,6,1,30.39
3,4900,4993.50,0,1.05,1,34.73,1,222.10,1,2.21,1.00,108.56,1,0.01,6,1,31.73
3,4900,4993.50,0,1.05,1,34.73,1,222.03,1,,9.00,,9,,9,9,0.00
4,3,2.90,0,15.04,1,34.92,1,252.48,1,0.31,1.00,,9,0.05,1,1,0.80
4,3,3.30,0,15.04,1,34.93,1,252.37,1,0.31,1.00,,9,0.05,1,1,0.84
4,18,18.00,0,14.66,1,34.90,1,255.98,1,,9.00,,9,,9,9,0.00
4,18,18.20,0,14.62,1,34.90,1,256.12,1,0.32,1.00,,9,0.06,1,1,0.99
4,27,27.70,0,14.08,1,34.88,1,256.98,1,0.33,1.00,,9,0.06,1,1,1.02
4,28,27.80,0,14.08,1,34.88,1,256.88,1,0.32,1.00,,9,0.06,1,1,1.00
4,38,38.40,0,13.86,1,34.88,1,254.69,1,0.36,1.00,,9,0.07,1,1,1.34
4,38,38.70,0,13.85,1,34.88,1,254.69,1,0.36,1.00,,9,0.07,1,1,1.36
4,48,48.10,0,13.43,1,34.87,1,251.81,1,0.39,1.00,,9,0.09,1,1,1.65
4,48,48.50,0,13.49,1,34.87,1,252.16,1,0.40,1.00,,9,0.09,1,1,1.64
4,58,58.30,0,12.63,1,34.81,1,249.06,1,0.50,1.00,,9,0.20,1,1,2.44
4,58,58.40,0,12.63,1,34.80,1,248.87,1,0.50,1.00,,9,0.22,1,1,2.57
4,78,78.30,0,12.55,1,34.87,1,245.43,1,0.52,1.00,,9,0.63,1,1,2.89
4,78,78.30,0,12.55,1,34.87,1,245.53,1,0.52,1.00,,9,0.64,1,1,2.92
4,97,97.70,0,12.13,1,34.82,1,242.48,1,0.60,1.00,,9,0.23,1,1,4.96
4,98,98.40,0,12.13,1,34.82,1,242.68,1,0.61,1.00,,9,0.28,1,1,4.80
4,127,127.80,0,11.95,1,34.88,1,237.05,1,0.68,1.00,,9,0.01,1,1,6.54
4,127,128.10,0,11.96,1,34.88,1,236.87,1,,9.00,,9,,9,9,0.00
4,196,198.00,0,11.00,1,34.81,1,231.45,1,,9.00,,9,,9,9,0.00
4,197,198.50,0,11.00,1,34.81,1,231.54,1,0.88,1.00,,9,0.01,1,1,9.69
4,296,298.80,0,10.00,1,34.77,1,222.22,1,1.14,1.00,,9,0.01,1,1,9.78
4,297,299.10,0,10.01,1,34.77,1,222.21,1,0.89,1.00,,9,0.01,1,1,13.64
4,394,397.80,0,8.42,1,34.57,1,220.64,1,1.46,1.00,,9,0.01,1,1,17.72
